movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path
The Colossus of New York,not-released,5.8,1.1K,"['Horror', 'Sci-Fi']","A brilliant surgeon encases his dead son's brain in a large robot body, with unintended results...","['brainwave', 'kaiju', 'gin martini', 'psychotronic film', 'creature feature', 'brain', 'robot', 'kill switch', 'united nations building', 'back from the dead']",Eugène Lourié,"['Willis Goldbeck', 'John Baragrey', 'Mala Powers', 'Otto Kruger', 'Eugène Lourié']",Thelma Schnee,-1958,/title/tt0051484/
Andover,not-released,5.5,5.2K,"['Comedy', 'Drama', 'Romance']","A genetics professor clones his dead wife, over and over, in a desperate attempt to get her back exactly as she was.","['cloning', 'genetics', 'college professor', 'grieving', 'dead wife', 'raised from the dead', 'geneticist', 'tied feet', 'tape over mouth', 'clone']",Scott Perlman,"['Jonathan Silverman', 'Jennifer Finnigan', 'Richard Kind', 'Scott Perlman', 'Scott Perlman']",Scott Perlman,-2017,/title/tt5605076/
Cold Ground,not-released,5.3,4.1K,"['Horror', 'Mystery', 'Sci-Fi']",The lucky ones freeze to death.,"['hill', 'snow', 'forest', 'cold', 'ice', 'b horror']",Fabien Delage,"['Doug Rand', 'Philip Schurer', 'Gala Besson', 'Fabien Delage', 'Fabien Delage']",Fabien Delage,-2017,/title/tt4144350/
S Club Seeing Double,1 hour 31 minutes,3.9,1.1K,"['Comedy', 'Drama', 'Musical']","When the members of S Club complain about how tough it is to stay on top, they find themselves replaced by lookalikes... or are they?","['bound and gagged', 'lip syncing', 'actress playing herself', 'actor playing himself', 'rock band', 'interrogation', 'clone']",Nigel Dick,"['Paul Alexander', 'Bradley McIntosh', 'Hannah Spearritt', ""Jo O'Meara"", 'Nigel Dick']",Kim Fuller,-2003,/title/tt0362107/
Cryptid,not-released,no-rating,0,"['Horror', 'Sci-Fi']","A small rural town in Maine is shocked as a mysterious animal leaves a local resident brutally ripped apart. Deemed to be a random bear attack by town officials, freelance journalist Max Frome suspects it might be something more.",['journalist'],Brad Rego,"['Ellen Adair', ""Kevin O'Rourke"", 'Nicholas Baroudi', 'Brad Rego', 'Brad Rego']",Brad Rego,-2022,/title/tt4974812/
Tribulation,not-released,4.7,919,"['Drama', 'Sci-Fi', 'Thriller']","Tom Canboro is a police detective with a Christian sister, Eileen, a brother, Calvin, a wife, Susan, and eccentric brother-in-law, Jason. One night, Jason seemingly goes insane and tries to kill Eileen, calling her a ""hater"". Tom soon realises this may be a conspiracy going as fa... Read all","['christian', 'messiah', 'hospital', 'antichrist', '666', 'mark of the beast', 'christian film', 'tragic event', 'future', 'dystopia']",André van Heerden,"['Paul Lalonde', 'Gary Busey', 'Howie Mandel', 'Nick Mancuso', 'André van Heerden']",Peter Lalonde,-2000,/title/tt0202236/
WifeLike,not-released,no-rating,0,['Sci-Fi'],,"['ai robots', 'futuristic']",James Bird,"['Elena Kampouris', 'Doron Bell', 'Agam Darshi', 'James Bird', 'James Bird']",James Bird,-2022,/title/tt15978956/
Demonwarp,1 hour 31 minutes,4.7,667,"['Horror', 'Mystery', 'Sci-Fi']","A man and his daughter are attacked in the woods by what they believe is a Bigfoot-type creature. However, they soon begin to suspect that they may have stumbled onto a nest of aliens in a hidden spacecraft.","['alien', 'sunbathing', 'female frontal nudity', 'bigfoot', 'stalker', 'female nudity', 'cabin', 'monster', 'forest', 'spaceship']",Emmett Alston,"['Jim Bertges', 'John Carl Buechler', 'George Kennedy', ""David Michael O'Neill"", 'Pamela Gilbert']",Bruce Akiyama,-1988,/title/tt0094998/
The Exotic Time Machine,not-released,3.6,333,['Sci-Fi'],"A time machine transports two curious pleasure seekers to the deepest reaches of the erotic past, where they enjoy historical adventures beyond imagination.","['time travel', 'softcore', 'male nudity', 'male frontal nudity', 'female full frontal nudity', 'female nudity', 'erotica', 'independent film', 'psychotronic film', 'female rear nudity']",Felicia Sinclair,"['Gabriella Hall', 'Joseph Daniels', 'Nikki Fritz', 'Felicia Sinclair', 'Don Pascual']",Don Pascual,-1998,/title/tt0162315/
How to Make a Monster,not-released,5.5,1.3K,"['Horror', 'Sci-Fi']","When a master monster make-up artist is sacked by the new bosses of American International studios, he uses his creations to exact revenge.","['fired', 'vengeance', 'monster', 'revenge', 'mind control', 'low budget film', 'b movie', 'interrogation', 'pink slip', 'amnesia']",Herbert L. Strock,"['Herman Cohen', 'Robert H. Harris', 'Paul Brinegar', 'Gary Conway', 'Herbert L. Strock']",Aben Kandel,-1958,/title/tt0051746/
It Lives Again,not-released,5.2,2.3K,"['Horror', 'Sci-Fi']",An epidemic of mutant monster babies sweeps America.,"['psychotronic film', 'monster', 'mutant', 'baby', 'dental mask', 'medical mask', 'latex gloves', 'surgical gown', 'creature feature', 'sequel to cult movie']",Larry Cohen,"['Frederic Forrest', 'Kathleen Lloyd', 'John P. Ryan', 'Larry Cohen', 'Larry Cohen']",Larry Cohen,-1978,/title/tt0077756/
P.U.N.K.S.,not-released,4.7,1.4K,"['Comedy', 'Sci-Fi']",A group of misfit teens evade a corrupt scientist when they steal and attempt to return a suit that delivers supernatural strength to its wearer.,"['atomic wedgie', 'acronym in title', 'super strength', 'independent film', 'title spoken by character']",Sean McNamara,"['Sean McNamara', 'Tim Redwine', 'Kenneth A. Brown', 'Patrick Renna', 'Sean McNamara']",Mark Cramer,-1999,/title/tt0130172/
The First Man,1 hour 28 minutes,3.8,85,['Sci-Fi'],"The first alien man has arrived on earth, and no woman can refuse him.",['alien'],Danny Kuchuck,"['Heather Graham', 'Lesley Ann Warren', 'Roxana Zal', 'Danny Kuchuck', 'Danny Kuchuck']",Danny Kuchuck,-1996,/title/tt1373138/
Say Goodbye to Hollywood,not-released,7.4,19,"['Drama', 'Fantasy', 'Sci-Fi']","The Hollywood Dream drifts further away from Sean when he slowly realizes each day that he is in a world alone. Only upon meeting his spiritual guides can he finally face his true destiny. Cinekat Filmworks presents a journey played out in Hollywood, California that was written i... Read all","['psychological thriller', 'suspense', 'drama filmmaking']",Steve Helgoth,"['Michael Collins', 'Balta Monkiki', 'Carey Embry', 'Steve Helgoth', 'Steve Helgoth']",Steve Helgoth,-2022,/title/tt13646616/
The Curious Female,not-released,4.2,311,"['Comedy', 'Sci-Fi']","In the year 2177, the world is under the control of a master computer. For recreation, however, people are allowed to view sex tapes.","['psychotronic film', 'timeframe 2170s', 'female rear nudity', 'skinny dipping', 'sex', 'lesbianism', 'female nudity', 'nudity', 'matchmaker', 'psychedelic']",Paul Rapp,"['Angelique Pettyjohn', 'Charlene Jones', 'Bunny Allister', 'Paul Rapp', 'Paul Rapp']",Paul Rapp,-1970,/title/tt0123770/
The Drone,1 hour 22 minutes,4,3K,"['Comedy', 'Horror', 'Sci-Fi']",A newlywed couple is terrorized by a consumer drone that has become sentient with the consciousness of a deranged serial killer.,"['drone', 'voyeurism', 'hidden camera', 'stalking', 'husband wife relationship', 'newlywed couple', 'science gone wrong', 'listening to a radio', 'undressing', 'female objectification']",Jordan Rubin,"['Jon Kaplan', 'Jordan Rubin', 'Alex Essoe', 'John Brotherton', 'Anita Briem']",Al Kaplan,-2019,/title/tt7476524/
Frankenstein Island,not-released,2.1,1.2K,"['Horror', 'Sci-Fi']","When a hot-air balloon crashes on a remote island, the crew discovers Dr. Frankenstein's ancestor carrying on the family work, along with a race of mutants and a population of Amazons.","['doctor victor frankenstein character', 'island', 'amazon', 'balloon', 'zombie', 'remake', 'scientist', 'monster', ""frankenstein's monster"", 'independent film']",Jerry Warren,"['Robert Clarke', 'Steve Brodie', 'Cameron Mitchell', 'Jerry Warren', 'Jerry Warren']",Jerry Warren,-1981,/title/tt0082410/
Pulse Pounders,not-released,6.5,249,"['Fantasy', 'Horror', 'Sci-Fi']","In this 'sequel' anthology, the film offers a TRANCERS sequel written by original creators Danny Bilson and Paul DeMeo, a new Lovecraft adaptation THE EVIL CLERGYMAN, featuring Jeffrey Combs and Barbara Crampton, and finally a sequel to THE DUNGEONMASTER.","['time travel', 'anthology', 'sword and sorcery', 'h.p. lovecraft']",Charles Band,"['Danny Bilson', 'Paul De Meo', 'Barbara Crampton', 'Jeffrey Combs', 'David Warner']",Michael Cassutt,-1988,/title/tt0293905/
From Other Worlds,not-released,4.8,220,"['Comedy', 'Sci-Fi']","A depressed Brooklyn housewife sleepwalks through her life until she is abducted by UFOs. Determined to solve the mystery of her otherworldly experiences, she embarks on a journey that leads to both romance and a new meaning of life.",['alien abduction'],Barry Strugatz,"['Cara Buono', 'Jay Oakerson', 'Isaach De Bankolé', 'Barry Strugatz', 'Barry Strugatz']",Barry Strugatz,-2004,/title/tt0363623/
Exit West,not-released,no-rating,0,"['Drama', 'Sci-Fi']",A young refugee couple from a war-torn country hear rumors that there are doors in the city they live that serve as portals to other destinations.,"['city', 'country', 'rumor']",Yann Demange,"['Riz Ahmed', 'Yann Demange', 'Mohsin Hamid', 'Riz Ahmed', 'Yann Demange']",Mohsin Hamid,,/title/tt7255366/
Escape to Grizzly Mountain,1 hour 35 minutes,5.7,282,"['Family', 'Sci-Fi', 'Western']","Jimmy, a young boy trying to gain acceptance from his peers, is horrified when he sees a circus trainer abusing a bear cub. One of the circus employees tells Jimmy that there is a magic cave in the hills nearby that can transport people to another time, and that maybe he can use ... Read all","['time portal', 'accidental time travel', 'backwards time travel', 'mountain man', 'grizzly adams', 'log cabin', 'wilderness', 'mountain', 'grizzly bear', 'circus performer']",Anthony Dalesandro,"['Lisa Dalesandro', 'Eric Parkinson', 'Dan Haggerty', 'Jan-Michael Vincent', 'Miko Hughes']",Boon Collins,-2000,/title/tt0198460/
The White King,1 hour 29 minutes,5.5,4.7K,"['Drama', 'Sci-Fi']",A 12-year-old boy rebels after a brutal government labels his father a traitor and imprisons him.,"['dystopia', 'boy', 'army camp', 'twins', 'f rated', 'based on novel']",Alex Helfrecht,"['György Dragomán', 'Alex Helfrecht', 'Jörg Tittel', 'Olivia Williams', 'Jonathan Pryce']",Jörg Tittel,-2016,/title/tt4211312/
Let's Be Evil,1 hour 22 minutes,4.3,8K,"['Horror', 'Reality-TV', 'Sci-Fi']",A vision of augmented reality.,"['child murders an adult', 'child murderer', 'subjective camera', 'murder of a child', 'tv interview', 'woman in jeopardy', 'psychotronic film', 'reference to virtual reality', 'augmented reality', 'facility']",Martin Owen,"['Elizabeth Morris', 'Jonathan Willis', 'Sophie Willis', 'Jules Brown', 'Elizabeth Morris']",Martin Owen,-2016,/title/tt3655682/
Like Cattle Towards Glow,not-released,4.3,346,"['Drama', 'Sci-Fi']",Several short films about troubled gay youngsters who attempt to resolve their psychological issues through bizarre fetish play or sinister self expression.,"['male full frontal nudity', 'gay interest', 'male nudity', 'male pubic hair', 'masturbation', 'gay', 'gay erotica', 'male frontal nudity', 'pubic hair', 'blood']",Dennis Cooper,"['Dennis Cooper', 'Zac Farley', 'Nicolas Hau', 'Gabriel Norman', 'E.D. Yang']",Zac Farley,-2015,/title/tt5024728/
Sex Files: Digital Sex,not-released,4.4,104,['Sci-Fi'],,"['female nudity', 'virtual reality', 'nudity', 'sex', 'independent film']",Marcy Ronen,"['Chris Johnston', 'Lauren Hays', 'Alicia Anne', 'Marcy Ronen', 'Debra Black']",Debra Black,-1998,/title/tt0218157/
A Distant Thunder,not-released,5.1,393,"['Drama', 'Sci-Fi']","The second film, A Thief in the Night being the first, A Distant Thunder continues the story of Patty, a young woman living in the ""end times"" referred to in biblical prophecy. This action suspense thriller finds Patty living as a fugitive, trying to hide from the ever increasing... Read all","['christian propaganda', 'end times', 'christian film', 'future', 'dystopia', 'eschatology', 'bible prophecy', 'religious persecution', 'religion', 'rapture aftermath']",Donald W. Thompson,"['Russell S. Doughten Jr.', 'Patty Dunning', 'Sally Johnson', 'Sandy Christen', 'Donald W. Thompson']",Donald W. Thompson,-1978,/title/tt0075945/
Trip,not-released,3.7,315,"['Horror', 'Sci-Fi', 'Thriller']","A group of friends traveling in a dense forest accidentally meet two strangers, who they think are the killers. Things get complicated when they get caught by real killers.",[],Dennis Manjunath,"['Karunakaran', 'Sunaina', 'Dennis Manjunath', 'Yogi Babu', 'Karunakaran']",Yogi Babu,(I) (2021),/title/tt11444698/
Deep,not-released,4.8,1.4K,"['Drama', 'Mystery', 'Sci-Fi']",Four insomniac med school students are lured into a neuroscience experiment that spirals out of control and must find a way out before it's too late.,"['medical', 'school', 'student', 'teenager', 'boy', 'girl', 'dangerous', 'sleep', 'insomniac', 'insomnia']",Sita Likitvanichkul,"['Apirak Samudkidpisan', 'Sita Likitvanichkul', 'Kittitat Nokngam', 'Jetarin Ratanaserikiat', 'Panisara Rikulsurakan']",Jetarin Ratanaserikiat,-2021,/title/tt14880258/
Primal Rage,not-released,5.2,776,"['Horror', 'Sci-Fi', 'Thriller']","A scientist at a Florida university inadvertantly creates a ""rage virus"" while performing experiments intended to restore dead brain tissue in baboons. When a journalist for the college paper breaks into the campus lab, he's bitten by one of the infected baboons; the virus soon s... Read all","['animal experimentation', 'rage virus', 'halloween party', 'halloween', 'going berserk', 'rage zombie', 'open wound', 'infection', 'contagion', 'scientist']",Vittorio Rambaldi,"['James Justice', 'Patrick Lowe', 'Cheryl Arutt', 'Sarah Buxton', 'Vittorio Rambaldi']",Umberto Lenzi,-2018,/title/tt5688868/
Abbott and Costello Go to Mars,1 hour 17 minutes,5.9,3.3K,"['Comedy', 'Family', 'Fantasy']","Two workmen accidentally launch a space rocket intended for Mars, and find mistakenly landing in New Orleans just the beginning of their misadventures.","['psychotronic film', 'new orleans', 'louisiana', 'carnivale', 'alien', 'monster movie', 'female monster', 'universal monsters', 'universal classic monster', 'thief']",Charles Lamont,"['John Grant', 'Howard Christie', 'Bud Abbott', 'Lou Costello', 'Robert Paige']",D.D. Beauchamp,-1953,/title/tt0045468/
G-Loc,not-released,4.5,1.6K,['Sci-Fi'],"Bran flees the cold, uninhabitable Earth. He hopes to get to Rhea, colonized by humans 582 years ago. Rheans are against new arrivals from Earth. He boards a Rhean spaceship with a cute, feisty Rhean.",['space'],Tom Paton,"['Stephen Moyer', 'Tala Gouveia', 'John Rhys-Davies', 'Tom Paton', 'Tom Paton']",Tom Paton,-2020,/title/tt9812258/
Dragon Day,1 hour 35 minutes,3.9,1.1K,"['Drama', 'Sci-Fi', 'Thriller']","A family getaway to a mountain town turns deadly when China launches a massive cyberattack against the USA, forcing former NSA engineer Duke Evans to fight to save his wife and daughter in the New World Order.","['future', 'post apocalypse']",Jeffrey Travis,"['Matt Patterson', 'Ethan Flower', 'Åsa Wallander', 'Jenn Gotzon', 'Jeffrey Travis']",Jeffrey Travis,-2013,/title/tt1772262/
The Area 51 Incident,not-released,no-rating,0,['Sci-Fi'],An outbreak occurs in the infamous Area 51 leading a group of survivors to an underground bunker.. only to learn.. they are not alone.,['missing'],Scott Jeffrey,"['Craig David Dowsett', 'Tabitha Green', 'Megan Purvis', 'Scott Jeffrey', 'Tom Jolliffe']",Tom Jolliffe,,/title/tt12055088/
Time Chasers,1 hour 29 minutes,2.4,3.4K,['Sci-Fi'],"An inventor comes up with a time machine, but must prevent its abuse at the hands of an evil C.E.O.","['psychotronic film', 'low budget sci fi movie', 'timeframe 1950s', 'timeframe 2040s', 'b sci fi', 'future', 'airplane', 'limousine', 'cult film', '2040s']",David Giancola,"['Matthew Bruch', 'Bonnie Pritchard', 'Peter Harrington', 'David Giancola', 'David Giancola']",David Giancola,-1994,/title/tt0145529/
