movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path
Peter Rabbit,1 hour 35 minutes,6.5,42K,"['Adventure', 'Comedy', 'Crime']",A rebellious rabbit tries to sneak into a farmer's vegetable garden.,"['rabbit', 'deer', 'mouse', 'fox', 'pig', 'talking rabbit', 'painter', 'jealousy', 'triplets', 'character name as title']",Will Gluck,"['Will Gluck', 'Beatrix Potter', 'James Corden', 'Fayssal Bazzi', 'Domhnall Gleeson']",Rob Lieber,-2018,/title/tt5117670/
Time Is Up,1 hour 48 minutes,4.1,1.9K,"['Drama', 'Romance']","An accident will force 'Vivien' and Royan to come to a stop and reclaim their lives, one minute at the time, and finally start living in a present that perhaps will prove to be more exciting than any predefined.","['accident', 'nipple piercing', 'nipple pierced']",Elisa Amoruso,"['Patrizia Fiorellini', 'Elisa Amoruso', 'Bella Thorne', 'Benjamin Mascolo', 'Sebastiano Pigazzi']",Marco Belardi,-2021,/title/tt13438734/
Next Goal Wins,not-released,no-rating,0,"['Comedy', 'Drama', 'Sport']","Adaptation of the 2014 British documentary. The story of the American Samoa soccer team, who suffered the worst loss in World Cup history, losing to Australia 31-0 in 2001.","['soccer', 'soccer team', 'soccer player', 'football', 'friend', 'joke', 'goal', 'field', 'squad', 'elite']",Taika Waititi,"['Iain Morris', 'Angus Sampson', 'Michael Fassbender', 'Rhys Darby', 'Taika Waititi']",Taika Waititi,-2022,/title/tt10767052/
Sliding Doors,1 hour 39 minutes,6.7,67K,"['Comedy', 'Drama', 'Fantasy']","A London woman's love life and career both hinge, unknown to her, on whether or not she catches a train. We see it both ways, in parallel.","['multiple outcomes', 'twist of fate', 'serendipity', 'parallel time', 'destiny', 'luck', 'reference to a zodiac sign', 'zodiac sign', 'reference to aries the constellation', 'reference to planet mars']",Peter Howitt,"['Gwyneth Paltrow', 'John Hannah', 'John Lynch', 'Peter Howitt', 'Peter Howitt']",Peter Howitt,-1998,/title/tt0120148/
A Bigger Splash,"$2,024,099",6.4,30K,"['Drama', 'Music', 'Thriller']",The vacation of a famous rock star and her boyfriend in Italy is disrupted by the unexpected visit of an old friend and his daughter.,"['female frontal nudity', 'pubic hair', 'skinny dipping', 'obnoxious visitor', 'rock star', 'italian', 'extramarital affair', 'infidelity', 'unfaithful wife', 'cheating wife']",Luca Guadagnino,"['Jacques Deray', 'Alain Page', 'Tilda Swinton', 'Matthias Schoenaerts', 'Ralph Fiennes']",David Kajganich,-2015,/title/tt2056771/
Lost and Delirious,"$307,233",6.8,21K,"['Drama', 'Romance']","After starting at an upmarket boarding school, a teenage girl forms close friendships with her two older roommates. However, when she discovers that her new friends are lovers she finds herself caught in a complicated situation.","[""girls' boarding school"", 'teenage sexuality', 'lesbian romance', 'lesbian relationship', 'private school', 'lesbians caught in bed', 'forbidden love', 'teenage sex', 'sex with a student', 'sex in bed']",Léa Pool,"['Judith Thompson', 'Piper Perabo', 'Jessica Paré', 'Mischa Barton', 'Léa Pool']",Susan Swan,-2001,/title/tt0245238/
The Secret: Dare to Dream,1 hour 47 minutes,6.5,14K,"['Drama', 'Romance']","A feature film adaptation of the self-help book, 'The Secret', which focuses on the power of positive thinking.","['hurricane', 'new orleans louisiana', 'fish buyer', 'boyfriend girlfriend relationship', 'restaurant manager', 'mother son relationship', 'mother daughters relationship', 'engineering teacher', 'nashville tennessee', 'vanderbilt university']",Andy Tennant,"['Andy Tennant', 'Rick Parks', 'Katie Holmes', 'Josh Lucas', 'Celia Weston']",Bekah Brunstetter,-2020,/title/tt4411584/
The Housemaid,"$157,961",6.4,11K,"['Drama', 'Thriller']",A man's affair with his family's housemaid leads to dark consequences.,"['mother in law son in law relationship', 'power of money', 'abuse of power', 'jealous wife', 'south korea', 'scene of the crime', 'reference to fyodor dostoevsky', ""reference to fyodor dostoevsky's the idiot"", 'reference to the idiot', 'reference to the idiot the novel']",Im Sang-soo,"['Im Sang-soo', 'Jeon Do-yeon', 'Lee Jung-jae', 'Youn Yuh-jung', 'Im Sang-soo']",Kim Ki-young,-2021,/title/tt15887102/
The Housemaid,not-released,5.9,54,['Thriller'],"Daisy's task as a new maid to a wealthy family is to watch over a young kid, but unknowingly she's being watched by the kid's father. When temptation kicks in Daisy and the wealthy family's lives start to shatter in pieces.","['wealthy family', 'maid', 'nanny', 'pregnant wife', 'cheating on wife', 'sex scene', 'sex with a maid', 'rough sex', 'nudity', 'female nudity']",Roman Perez Jr.,"['Enrique Ramos', 'Kylie Verzosa', 'Albert Martinez', 'Jaclyn Jose', 'Roman Perez Jr.']",Im Sang-soo,-2021,/title/tt15887102/
Jug Jugg Jeeyo,not-released,7.6,14K,"['Comedy', 'Drama', 'Family']","A story set in the heart of Patiala and much like the city, it's full of love and laughter, colour and drama. This story is all about family and its values, unresolved yearnings and unexpected reconciliations. A good family entertainer",['reconciliation'],Raj Mehta,"['Rishhabh Sharrma', 'Anurag Singh', 'Varun Dhawan', 'Kiara Advani', 'Anil Kapoor']",Sumit Batheja,-2022,/title/tt13449624/
Moneyboys,not-released,6.4,526,['Drama'],"Fei works illegally as a hustler in order to support his family, yet when he realizes they are willing to accept his money but not his way of life, there is a major breakdown in their relations. Through his relationship to the headstrong Long, Fei seems able to find a new lease o... Read all",[],C.B. Yi,"['Kai Ko', 'Chloe Maayan', 'Yufan Bai', 'C.B. Yi', 'C.B. Yi']",C.B. Yi,-2021,/title/tt11783988/
Bolero,1 hour 45 minutes,2.9,5.6K,"['Comedy', 'Drama', 'Romance']","Set in the 1920s, a young woman sets out to lose her virginity. Her mission leads her to a Moroccan sheikh and a Spanish bullfighter.","['sex scene', 'sexploitation', 'woman in a bathtub', 'bullfighter', 'loss of virginity', 'virgin', 'hot tub', 'sex in bed', 'lust', 'sexual satisfaction']",John Derek,"['Bo Derek', 'George Kennedy', 'Andrea Occhipinti', 'John Derek', 'John Derek']",John Derek,-1984,/title/tt0086987/
Black Mirror: Bandersnatch,1 hour 30 minutes,7.1,125K,"['Drama', 'Fantasy', 'Mystery']",A young programmer starts to question reality when he adapts a mad writer's fantasy novel into a video game.,"['interactive movie', 'computer', 'gamebook', 'interactive', 'multiple endings', 'stuffed toy', 'male protagonist', 'multiple timelines', 'year 1984', 'computer game']",David Slade,"['Fionn Whitehead', 'Craig Parkinson', 'Alice Lowe', 'David Slade', 'Charlie Brooker']",Charlie Brooker,-2018,/title/tt9495224/
Reagan,not-released,no-rating,0,"['Biography', 'Drama']","A drama based on the life of Ronald Reagan, from his childhood to his time in the oval office.","['character name as title', 'ronald reagan character', 'surname as title', 'american politics', 'one word title']",Sean McNamara,"['Jonas McCord', 'Dennis Quaid', 'Jon Voight', 'Amanda Righetti', 'Sean McNamara']",Howard Klausner,-2022,/title/tt1723808/
Denial,1 hour 49 minutes,6.7,21K,"['Biography', 'Drama']","Acclaimed writer and historian Deborah E. Lipstadt must battle for historical truth to prove the Holocaust actually occurred when David Irving, a renowned denier, sues her for libel.","['anti semitism', 'courtroom', 'holocaust', 'historian', 'holocaust survivor', 'auschwitz', 'holocaust denial', 'new yorker', 'reference to heinrich himmler', 'london england']",Mick Jackson,"['David Hare', 'Rachel Weisz', 'Tom Wilkinson', 'Timothy Spall', 'Mick Jackson']",Deborah Lipstadt,(II) (2016),/title/tt4645330/
Horse Girl,not-released,5.9,18K,"['Drama', 'Mystery', 'Thriller']","Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.","['schizophrenia', 'paranoia', 'mental illness', 'memory lapse', 'disorientation', 'female rear nudity', 'female pubic hair', 'female full frontal nudity', 'time loss', 'dream']",Jeff Baena,"['Alison Brie', 'Alison Brie', 'Molly Shannon', 'Goldenite', 'Jeff Baena']",Jeff Baena,(I) (2020),/title/tt11388406/
Dark Water,"$30,000,000 (estimated)",5.6,62K,"['Drama', 'Horror', 'Mystery']","A mother and daughter, still wounded from a bitter custody dispute, hole up in a run-down apartment building, where they are targeted by the ghost of a former resident.","['cult film', 'supernatural horror', 'female protagonist', 'dead body in a water tank', 'timeframe 1970s', 'timeframe 2000s', 'child in jeopardy', 'apartment', 'water', 'school']",Walter Salles,"['Hideo Nakata', 'Takashige Ichise', 'Jennifer Connelly', 'Ariel Gade', 'John C. Reilly']",Kôji Suzuki,-2005,/title/tt0382628/
