movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path
The Viking Sagas,not-released,5.2,610,"['Action', 'Adventure']","A mythical warrior wanders the snow-capped landscapes of the North territories on an arduous quest for vengeance. Amid nobles and schemers, saints and brutes, and lovers and fools, this Viking swings his sword for his family's honor, his beloved's hand, and the very survival of h... Read all","['female rear nudity', 'viking', 'outlaw', 'iceland', 'female nudity', 'independent film']",Michael Chapman,"['Dale Herd', 'Paul R. Gurian', 'Ralf Moeller', 'Ingibjörg Stefánsdóttir', 'Sven-Ole Thorsen']",Michael Chapman,-1995,/title/tt0114851/
Born of War,1 hour 49 minutes,4.3,422,"['Action', 'Drama', 'Thriller']","After her family is killed, Mina finds out her real father is a terrorist, and behind the killings. To get revenge, Mina works with British Intelligence to take him down.","['woman murders a woman', 'title directed by female', 'oxfordshire south east englend', 'girls with guns', 'timeframe 1980s', 'timeframe 2010s', ""character repeats someone else's dialogue"", 'man murders a woman', 'mina', 'fight']",Vicky Jewson,"['Vicky Jewson', 'Rupert Whitaker', 'James Frain', ""Sofia Black-D'Elia"", 'Lydia Leonard']",Ben Hervey,-2014,/title/tt1554921/
Beaufort,2 hours 11 minutes,6.7,4.7K,"['Action', 'Drama', 'War']",The story of a group of Israeli soldiers stationed in an outpost prior to the withdrawal of forces of 2000.,"['soldier', 'officer', 'bomb', 'israeli soldier', 'israeli', 'lebanon', 'israel', 'lebanon war', 'israel lebanon war', 'television broadcast']",Joseph Cedar,"['Ron Leshem', 'Alon Aboutboul', 'Adi Adouan', ""Ya'akov Ahimeir"", 'Joseph Cedar']",Joseph Cedar,-2007,/title/tt0758732/
24 Little Hours,not-released,3.7,500,"['Action', 'Crime', 'Drama']","A vengeful ex-con goes on a 24 hour killing spree, never saying a word. The discredited detective investigating the case is convinced there is more to it than the evidence suggests.","['revenge', 'police drama', 'gangster', 'betrayal', 'british', 'mask', 'nipple piercing', 'topless female nudity', 'murder']",Paul Knight,"['Kris Johnson', 'Fiona Skinner', 'Danny Midwinter', 'Paul Knight', 'Paul Knight']",Paul Knight,-2020,/title/tt7737394/
Gekijoban Pocket Monster Best Wishes! Kyurem vs Seikenshi Keldeo,1 hour 12 minutes,5.4,1.5K,"['Animation', 'Action', 'Adventure']","An over zealous pokemon called Keldeo enrages a very powerful Kyurem, with the help of Ash and Pikachu can Keldeo become a sword of justice and defeat the mighty Kyurem?","['timeframe 2010s', 'anime', 'ash ketchum character', 'pikachu', 'iris character', 'cilan character', 'jessie character', 'james character', 'meowth', 'team rocket']",Kunihiko Yuyama,"['Satoshi Tajiri', 'Junichi Masuda', 'Sarah Natochenny', 'Eileen Stevens', 'Jason Griffith']",Hideki Sonoda,-2012,/title/tt2549540/
The Cure,1 hour 30 minutes,3.4,782,"['Action', 'Sci-Fi', 'Thriller']",The film is about a young female researcher whose life is in danger when she discovers the pharmaceutical company she works for had developed a cure for cancer many years earlier. They haven't released it because that would destroy their chemotherapy drug sales. She must now esca... Read all,"['time bomb', 'fbi federal bureau of investigation', 'cure', 'cancer', 'pharmaceuticals', 'scientist', 'corporate greed', 'corporate corruption', 'corporate conspiracy', 'bludgeoned to death']",David Gould,"['Antonia Prebble', 'Stephen Lovatt', 'Daniel Lissing', 'David Gould', 'David Gould']",David Gould,(III) (2014),/title/tt2175947/
Impact Earth,1 hour 34 minutes,3.6,363,['Action'],"A former NASA asteroid tracker discovers a looming asteroid collision that could send it on a collision-course with Earth. Because he made a wrong call ten years earlier that cost him his career, nobody at NASA will listen to him when he starts raising the waning flags. Desperate... Read all","['disaster film', 'earth', 'ball', 'fire', 'hero', 'sun', 'dead', 'death', 'fear']",Rex Piano,"['Jonathan Stathakis', 'Cory Tynan', 'Bernard Curry', 'Brooke Langton', 'Caitlin Carver']",E.M. McCoy,-2015,/title/tt4160208/
Safeguard,not-released,3.5,234,"['Action', 'Adventure', 'Thriller']","When a Japanese restaurant is extorted by the Russian Mafia in London, a father takes matters into his own hands to protect his family and save their business at all costs.",['restaurant'],Fraser Precious,"['Patrick Gallagher', 'Akie Kotabe', 'Sean Cronin', 'Fraser Precious', 'Fraser Precious']",Fraser Precious,-2020,/title/tt9916190/
Yeh Raaste Hain Pyaar Ke,2 hours 29 minutes,3.9,747,"['Action', 'Drama', 'Romance']","Two con artistes and car thieves, Vicky (Ajay Devgan) and Sakshi (Preity Zintar) run afoul of Bhanwarlal (Deep Dhillon) and his mob, when they accidentally kill his brother. Bhanwarlal and his other brother (Mayur) both swear to avenge the death of their brother and mistakenly ki... Read all","['title sung by character', 'con artist', 'con man', 'con woman', 'car thief', 'anti hero', 'love triangle', 'piano', 'dual role', 'impersonation']",Deepak S. Shivdasani,"['Kader Khan', 'Deepak S. Shivdasani', 'Ajay Devgn', 'Madhuri Dixit', 'Preity Zinta']",Robin Bhatt,-2001,/title/tt0292740/
Bharaate,not-released,4.7,245,"['Action', 'Drama']","When Jagan meets Radha, it is love at first sight for him. But finding his happily-ever-after is harder than it seems.",['love'],Chethan Kumar,"['Ayyappa P. Sharma', 'Sreeleela', 'Sriimurali', 'Chethan Kumar', 'Chethan Kumar']",Chethan Kumar,-2019,/title/tt8811292/
