movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path
Top Gun: Maverick,"$170,000,000 (estimated)",8.6,187K,"['Action', 'Drama']","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground","['fighter jet', 'sequel', 'u.s. navy', 'fighter aircraft', 'pilot', 'naval aviation', 'jet fighter', 'military pilot', 'aviation', 'aircraft']",Joseph Kosinski,"['Jack Epps Jr.', 'Peter Craig', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",Jim Cash,-2022,/title/tt1745960/
Jurassic World Dominion,2 hours 27 minutes,6,56K,"['Action', 'Adventure', 'Sci-Fi']","Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with ... Read all","['dinosaur', 'jurassic park', 'tyrannosaurus rex', 'velociraptor', 'sequel', 'alan grant character', 'ellie sattler character', 'ian malcolm character', 'dinosaur feature', 'animal trainer']",Colin Trevorrow,"['Colin Trevorrow', 'Derek Connolly', 'Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']",Emily Carmichael,-2022,/title/tt8041270/
Top Gun,"$15,000,000 (estimated)",6.9,380K,"['Action', 'Drama']","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.","['pilot', 'male camaraderie', 'u.s. navy', 'grumman f 14 tomcat', 'flying', 'jet fighter', 'fighter pilot', 'jet', 'rivalry', 'flight school']",Tony Scott,"['Jack Epps Jr.', 'Ehud Yonay', 'Tom Cruise', 'Tim Robbins', 'Kelly McGillis']",Jim Cash,-1986,/title/tt0092099/
Lightyear,"$71,101,257",5.2,32K,"['Animation', 'Action', 'Adventure']","While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.","['galaxy', 'spaceship', 'robot', 'rocket', 'space adventure', 'same sex kiss', 'brainwashing', 'anti conservative', 'spin off', 'pixar']",Angus MacLane,"['Jason Headley', 'Matthew Aldrich', 'Chris Evans', 'Keke Palmer', 'Peter Sohn']",Angus MacLane,-2022,/title/tt10298810/
Spiderhead,not-released,5.4,23K,"['Action', 'Crime', 'Drama']","In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.","['discover', 'medical', 'test', 'reality', 'fictional drug', 'violence', 'room', 'nature', 'emotion', 'volunteer']",Joseph Kosinski,"['Rhett Reese', 'Paul Wernick', 'Chris Hemsworth', 'Miles Teller', 'Jurnee Smollett']",George Saunders,-2022,/title/tt9783600/
Everything Everywhere All at Once,2 hours 19 minutes,8.3,124K,"['Action', 'Adventure', 'Comedy']","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.","['multiverse', 'saving the world', 'mother daughter relationship', 'chinese', 'immigrant', 'husband wife relationship', 'nihilism', 'googly eye', 'bagel', 'lgbt']",Dan Kwan,"['Dan Kwan', 'Daniel Scheinert', 'Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan']",Daniel Scheinert,-2022,/title/tt6710474/
Interceptor,not-released,4.4,17K,"['Action', 'Adventure', 'Drama']",One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.,"['violence', 'gun', 'handgun', 'gun fight', 'one word title', 'chase', 'escape', 'military', 'national emergency', 'international crisis']",Matthew Reilly,"['Stuart Beattie', 'Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Matthew Reilly']",Matthew Reilly,-2022,/title/tt14174940/
Interceptor,1 hour 30 minutes,3.6,819,"['Action', 'Sci-Fi', 'Thriller']","When Special forces agent Matvey Sobolev survives an explosion, he realizes he must master the art of absolute inner power before confronting his powerful rival, Kurylo, a cruel leader of a criminal syndicate.","['outer space', 'female rear nudity', 'survival', 'politician', 'journalist', 'fight', 'hero', 'psychotronic weapon', 'moscow russia', 'female nudity']",Konstantin Maksimov,"['Konstantin Maksimov', 'Larisa Stepanova', 'Igor Petrenko', 'Lyubov Tolkalina', 'Aleksandr Baluev']",Vasily Golovachov,-2022,/title/tt14174940/
Black Adam,not-released,no-rating,0,"['Action', 'Fantasy', 'Sci-Fi']","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","['dc extended universe', 'based on comic', 'based on comic book', 'dc comics', 'supervillain', 'shared universe', 'superhero', 'two word title', 'egyptian mythology', 'color in title']",Jaume Collet-Serra,"['Rory Haines', 'Sohrab Noshirvani', 'Sarah Shahi', 'Dwayne Johnson', 'Pierce Brosnan']",Adam Sztykiel,-2022,/title/tt6443346/
The Northman,"$60,000,000 (estimated)",7.2,128K,"['Action', 'Adventure', 'Drama']","From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.","['female full frontal nudity', 'hairy bush', 'viking', 'viking age', 'based on legend', 'female frontal nudity', ""avenging father's death"", 'king', 'berserker', 'female pubic hair']",Robert Eggers,"['Robert Eggers', 'Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Robert Eggers']",Sjón,-2022,/title/tt11138512/
