movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path
Rogue Trader,1 hour 41 minutes,6.4,10K,"['Crime', 'Drama', 'History']","The story of Nick Leeson, an ambitious investment broker who singlehandedly bankrupted one of the oldest and most important banks in Britain.","['finance', 'fraud', 'financial disaster', 'hare krishna', 'corporate', 'corporate thriller', 'bank', 'money', 'barings bank', 'singapore']",James Dearden,"['Nick Leeson', 'Edward Whitley', 'Ewan McGregor', 'Anna Friel', 'Cristian Solimeno']",James Dearden,-1999,/title/tt0131566/
Waffle Street,not-released,6.2,5.2K,"['Comedy', 'Drama']","After being fired as VP in a big mortgage fund (fall guy), Jim decides on a complete change and starts work at a 24/7 diner.",['work'],Eshom Nelms,"['Autumn McAlpin', 'Eshom Nelms', 'Ian Nelms', 'James Lafferty', 'Danny Glover']",Ian Nelms,-2015,/title/tt3881680/
Mockingbird Don't Sing,1 hour 38 minutes,6.4,2K,"['Biography', 'Drama']","Based on the actual events of one of the most horrific cases of child abuse ever to be documented, this haunting drama tells the tale of a young girl that was locked in a room for over 12 years.","['1970s', 'year 1970', '13 year old', '13 year old girl', 'feral child', 'november', 'winter', 'abuse', 'abused child', 'abusive father']",Harry Bromley Davenport,"['Melissa Errico', 'Michael Lerner', 'Joe Regalbuto', 'Harry Bromley Davenport', 'Daryl Haney']",Daryl Haney,-2001,/title/tt0273822/
Heaven's Prisoners,2 hours 12 minutes,5.8,5.4K,"['Drama', 'Mystery', 'Thriller']","A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened.","['based on novel', 'villainess', 'female full frontal nudity', 'old flame', 'orphan', 'drinking', 'airplane crash', 'new orleans louisiana', 'adopted daughter', 'femme fatale']",Phil Joanou,"['Harley Peyton', 'Scott Frank', 'Alec Baldwin', 'Kelly Lynch', 'Mary Stuart Masterson']",James Lee Burke,-1996,/title/tt0116508/
The Last Supper,"$459,749",6.7,15K,"['Comedy', 'Crime', 'Drama']","A group of idealistic, but frustrated, liberals succumb to the temptation of murdering rightwing pundits for their political beliefs.","['dinner', 'iowa', 'dinner party', 'murder', 'victim invited to dinner', 'painter', 'tomato', 'vigilantism', 'politics', 'black comedy']",Stacy Title,"['Cameron Diaz', 'Ron Eldard', 'Annabeth Gish', 'Stacy Title', 'Dan Rosen']",Dan Rosen,-1995,/title/tt0113613/
Boot Camp,1 hour 39 minutes,5.8,8.9K,"['Crime', 'Drama', 'Thriller']","A group of at-risk teens are sent to a what they think is a rehabilitation program on Fiji, but it's really a prison-like camp where kids are abused and brainwashed.","['kicked in the balls', 'island', 'boot camp', 'problem child', 'male rear nudity', 'sex', 'male nudity', 'female nudity', 'barefoot male', 'death']",Christian Duguay,"['John Cox', 'Mila Kunis', 'Gregory Smith', 'Peter Stormare', 'Christian Duguay']",Agatha Dominik,-2008,/title/tt0870204/
R100,1 hour 39 minutes,6,2.6K,"['Comedy', 'Drama']",A man in search of joy hires a bondage club to have dominatrices surprise him at random times.,"['dominatrix', 'bare chested male bondage', 'black pantyhose', 'nylons', 'pantyhose', 'pantyhose legs', 'fishnet stockings', 'sexy woman', 'woman wears lingerie', 'woman wears fishnet stockings']",Hitoshi Matsumoto,"['Mitsuyoshi Takasu', 'Tomoji Hasegawa', 'Nao Ômori', 'Mao Daichi', 'Shinobu Terajima']",Hitoshi Matsumoto,-2013,/title/tt2914838/
Trees Lounge,1 hour 35 minutes,7.1,16K,"['Comedy', 'Drama']","Tommy is an unemployed mechanic who spends most of his time in a bar (Trees Lounge) in a small blue collar town. He seems to always be thinking, ""If only X then I could stop drinking"".","['drinking beer', 'beer', 'ice cream', 'bar', 'drinking', 'ice cream truck', 'ex girlfriend', 'drunk', 'drink', 'alcoholic drink']",Steve Buscemi,"['Steve Buscemi', 'Carol Kane', 'Mark Boone Junior', 'Steve Buscemi', 'Steve Buscemi']",Steve Buscemi,-1996,/title/tt0117958/
Eureka,2 hours 10 minutes,5.9,3.4K,"['Drama', 'Thriller']","In 1925, Arctic prospector Jack McCann (Gene Hackman) becomes a rich man when he strikes gold, but twenty years later, he faces major personal and family problems.","['wellesian', 'year 1925', '1920s', '20th century', 'interwar period', 'year 1945', '1940s', 'caribbean sea', 'caribbean', 'timeframe 1920s']",Nicolas Roeg,"['Paul Mayersberg', 'Robert W. Service', 'Gene Hackman', 'Theresa Russell', 'Rutger Hauer']",Marshall Houts,-1983,/title/tt0083906/
Creation Stories,1 hour 45 minutes,6.1,1.3K,"['Biography', 'Drama', 'Music']",Creation Stories tells the unforgettable tale of infamous Creation Records label head Alan McGee; and of how one written-off young Glaswegian upstart rose to irrevocably change the face of British culture.,"['scottish man', 'redheaded man', '1980s music', '1990s music', 'impresario', 'britpop', 'rags to riches', 'success story', 'scotsman in america', 'drug use']",Nick Moran,"['Irvine Welsh', 'Ewen Bremner', 'Leo Flanagan', 'Richard Jobson', 'Nick Moran']",Dean Cavanagh,-2021,/title/tt5693182/
Dance with Me,2 hours 6 minutes,5.9,6.5K,"['Drama', 'Music', 'Romance']","Rafael Infante (Chayanne) comes to Houston from Cuba to work at John Burnett's (Kris Kristofferson's) dance studio. He meets Ruby Sinclair (Vanessa Williams), a cute dance instructor there. Chemistry? Will John know he's Rafael's dad?","['dance movie', 'latin music', 'dance music', 'dance', 'dancer', 'dance studio', 'cuban', 'upskirt', 'white panties', 'panties']",Randa Haines,"['Vanessa Williams', 'Chayanne', 'Kris Kristofferson', 'Randa Haines', 'Daryl Matthews']",Daryl Matthews,-1998,/title/tt0120576/
Dance with Me,1 hour 43 minutes,6.8,720,"['Adventure', 'Comedy', 'Musical']","Suzuki Shizuka is an office lady at a conglomerate who is treated by a hypnotist and left under the spell. Thereafter she cannot but sing and dance whenever she hears any melody whatsoever. No matter the source, length or quality she is composed to dance along. Shizuka heads back... Read all","['hypnotism', 'synchronized dancing', 'confetti', 'hypnotist', 'dance', 'dancing', 'office', 'romanization of title', 'playing music on a phone', 'swinging from chandelier']",Shinobu Yaguchi,"['Shinobu Yaguchi', 'Ayaka Miyoshi', 'Yû Yashiro', 'Chay', 'Shinobu Yaguchi']",Junko Yaguchi,-1998,/title/tt0120576/
Play,1 hour 58 minutes,7.1,5.3K,['Drama'],"An astute observation based on real cases of bullying. In central Gothenburg, Sweden, a group of boys, aged 12-14, robbed other children on about 40 occasions between 2006 and 2008. The thieves used an elaborate scheme called the 'little brother number' or 'brother trick', involv... Read all","['swedish lifestyle', 'criminality in sweden', 'ethnic stereotype', 'racial stereotype', 'sweden', 'bullying', 'friendship between boys', 'child protagonist', 'african immigrant', 'immigrant']",Ruben Östlund,"['Ruben Östlund', 'Anas Abdirahman', 'Sebastian Blyckert', 'Yannick Diakité', 'Ruben Östlund']",Erik Hemmendorff,(I) (2011),/title/tt1376717/
The Quiller Memorandum,not-released,6.3,4K,"['Crime', 'Drama', 'Mystery']","In the West Berlin of the 1960s, two British agents are killed by a Nazi group, prompting British Intelligence to dispatch agent Quiller to investigate.","['british intelligence', 'espionage', 'neo nazi', 'cold war', 'berlin germany', 'based on novel', 'germany', 'timeframe 1960s', 'spy versus spy', 'spying']",Michael Anderson,"['Harold Pinter', 'George Segal', 'Alec Guinness', 'Max von Sydow', 'Michael Anderson']",Trevor Dudley Smith,-1966,/title/tt0060880/
