movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path,Popularity,Votes,Adult,Poster Image,Runtime,Taglines
Top Gun: Maverick,"$170,000,000 (estimated)",8.6,187K,"['Action', 'Drama']","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground","['fighter jet', 'sequel', 'u.s. navy', 'fighter aircraft', 'pilot', 'naval aviation', 'jet fighter', 'military pilot', 'aviation', 'aircraft', 'fighter pilot', 'u.s. navy', 'sequel', 'nuclear weapons', 'military']",Joseph Kosinski,"['Jack Epps Jr.', 'Peter Craig', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",Jim Cash,-2022,/title/tt1745960/,159.783,7583.0,False,http://image.tmdb.org/t/p/w500/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,131.0,Feel the need... The need for speed.
Jurassic World Dominion,2 hours 27 minutes,6,56K,"['Action', 'Adventure', 'Sci-Fi']","Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with ... Read all","['dinosaur', 'jurassic park', 'tyrannosaurus rex', 'velociraptor', 'sequel', 'alan grant character', 'ellie sattler character', 'ian malcolm character', 'dinosaur feature', 'animal trainer', 'sequel', 'giant monster', 'dinosaur', 'child kidnapping', 'jurassic', 'animal sanctuary']",Colin Trevorrow,"['Colin Trevorrow', 'Derek Connolly', 'Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']",Emily Carmichael,-2022,/title/tt8041270/,145.47,5241.0,False,http://image.tmdb.org/t/p/w500/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,147.0,The epic conclusion of the Jurassic era.
Top Gun,"$15,000,000 (estimated)",6.9,380K,"['Action', 'Drama']","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.","['pilot', 'male camaraderie', 'u.s. navy', 'grumman f 14 tomcat', 'flying', 'jet fighter', 'fighter pilot', 'jet', 'rivalry', 'flight school', 'loss of loved one', 'lovesickness', 'fighter pilot', 'self-discovery', 'pilot', 'dying and death', 'training camp', 'air force', 'airplane', 'dangerous', 'battle assignment', 'u.s. navy', 'hostility', 'secret love', 'cowardliness', 'pilot school', 'based on magazine, newspaper or article']",Tony Scott,"['Jack Epps Jr.', 'Ehud Yonay', 'Tom Cruise', 'Tim Robbins', 'Kelly McGillis']",Jim Cash,-1986,/title/tt0092099/,57.682,7727.0,False,http://image.tmdb.org/t/p/w500/xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,110.0,Up there with the best of the best.
Lightyear,"$71,101,257",5.2,32K,"['Animation', 'Action', 'Adventure']","While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.","['galaxy', 'spaceship', 'robot', 'rocket', 'space adventure', 'same sex kiss', 'brainwashing', 'anti conservative', 'spin off', 'pixar', 'space travel', 'alien life-form', 'stranded', 'alien planet', 'spin off', 'aftercreditsstinger', 'duringcreditsstinger', 'origin story']",Angus MacLane,"['Jason Headley', 'Matthew Aldrich', 'Chris Evans', 'Keke Palmer', 'Peter Sohn']",Angus MacLane,-2022,/title/tt10298810/,59.45,3065.0,False,http://image.tmdb.org/t/p/w500/b9t3w1loraDh7hjdWmpc9ZsaYns.jpg,105.0,Infinity awaits.
Spiderhead,not-released,5.4,23K,"['Action', 'Crime', 'Drama']","In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.","['discover', 'medical', 'test', 'reality', 'fictional drug', 'violence', 'room', 'nature', 'emotion', 'volunteer', 'psychological stress', 'dystopia', 'prison escape', 'psychological thriller', 'inmate', 'based on short story', 'psychotronic', 'drug testing']",Joseph Kosinski,"['Rhett Reese', 'Paul Wernick', 'Chris Hemsworth', 'Miles Teller', 'Jurnee Smollett']",George Saunders,-2022,/title/tt9783600/,38.088,1362.0,False,http://image.tmdb.org/t/p/w500/5hTK0J9SGPLSTFwcbU0ELlJsnAY.jpg,106.0,How far would you go to fix human nature?
Everything Everywhere All at Once,2 hours 19 minutes,8.3,124K,"['Action', 'Adventure', 'Comedy']","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.","['multiverse', 'saving the world', 'mother daughter relationship', 'chinese', 'immigrant', 'husband wife relationship', 'nihilism', 'googly eye', 'bagel', 'lgbt', 'mother', 'philosophy', 'martial arts', 'kung fu', 'generations conflict', 'chinese woman', 'laundromat', 'chinese', 'east asian lead', 'family', 'hot dog', 'asian woman', 'chinese immigrant', 'mother daughter relationship', 'asian american', 'intergenerational trauma', 'internal revenue service']",Dan Kwan,"['Dan Kwan', 'Daniel Scheinert', 'Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan']",Daniel Scheinert,-2022,/title/tt6710474/,68.477,5250.0,False,http://image.tmdb.org/t/p/w500/rKvCys0fMIIi1X9rmJBxTPLAtoU.jpg,140.0,The universe is so much bigger than you realize.
Interceptor,not-released,4.4,17K,"['Action', 'Adventure', 'Drama']",One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.,"['violence', 'gun', 'handgun', 'gun fight', 'one word title', 'chase', 'escape', 'military', 'national emergency', 'international crisis', 'terrorism']",Matthew Reilly,"['Stuart Beattie', 'Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Matthew Reilly']",Matthew Reilly,-2022,/title/tt14174940/,29.988,643.0,False,http://image.tmdb.org/t/p/w500/cpWUtkcgRKeauhTyVMjYHxAutp4.jpg,98.0,The world's last defense.
Black Adam,not-released,no-rating,0,"['Action', 'Fantasy', 'Sci-Fi']","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","['dc extended universe', 'based on comic', 'based on comic book', 'dc comics', 'supervillain', 'shared universe', 'superhero', 'two word title', 'egyptian mythology', 'color in title', 'lightning', 'anti hero', 'superhero', 'based on comic', 'demon', 'superhero team', 'duringcreditsstinger', 'dc extended universe (dceu)']",Jaume Collet-Serra,"['Rory Haines', 'Sohrab Noshirvani', 'Sarah Shahi', 'Dwayne Johnson', 'Pierce Brosnan']",Adam Sztykiel,-2022,/title/tt6443346/,147.022,5484.0,False,http://image.tmdb.org/t/p/w500/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,124.0,Power born from rage.
The Northman,"$60,000,000 (estimated)",7.2,128K,"['Action', 'Adventure', 'Drama']","From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.","['female full frontal nudity', 'hairy bush', 'viking', 'viking age', 'based on legend', 'female frontal nudity', ""avenging father's death"", 'king', 'berserker', 'female pubic hair', 'sword', 'father murder', 'prince', 'iceland', 'viking', 'northern ireland', 'sword fight', 'revenge', 'death of father', 'gore', 'fate', 'king', 'brutality', 'hamlet', 'based on myths, legends or folklore', 'nordic', '10th century', 'viking age', 'muscular men', 'fantasy', 'graphic violence']",Robert Eggers,"['Robert Eggers', 'Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Robert Eggers']",Sjón,-2022,/title/tt11138512/,65.661,3606.0,False,http://image.tmdb.org/t/p/w500/aSSJMnHknzKjlZ6zybwD7eyJ4Po.jpg,137.0,Conquer your fate.
Thor: Love and Thunder,not-released,8.2,926,"['Action', 'Adventure', 'Comedy']","Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.","['marvel comics', 'based on comic', 'superhero', 'superheroine', 'unnecessary male objectification', 'stupid male objectification', 'marvel cinematic universe', 'sequel', 'fourth part', 'based on comic book', 'ex-girlfriend', 'hero', 'greek mythology', 'sequel', 'superhero', 'based on comic', 'shadow', 'norse mythology', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'heroes', 'norse god', 'god of thunder', 'colorless', 'child abduction', 'thor', 'nude male lead']",Taika Waititi,"['Jennifer Kaytin Robinson', 'Stan Lee', 'Chris Pratt', 'Taika Waititi', 'Chris Hemsworth']",Taika Waititi,-2022,/title/tt10648342/,133.327,6538.0,False,http://image.tmdb.org/t/p/w500/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,119.0,The one is not the only.
