movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path,Popularity,Votes,Adult,Poster Image,Runtime,Taglines
Rogue Trader,1 hour 41 minutes,6.4,10K,"['Crime', 'Drama', 'History']","The story of Nick Leeson, an ambitious investment broker who singlehandedly bankrupted one of the oldest and most important banks in Britain.","['finance', 'fraud', 'financial disaster', 'hare krishna', 'corporate', 'corporate thriller', 'bank', 'money', 'barings bank', 'singapore', 'based on novel or book', 'stock market', 'forgery', 'investment banker']",James Dearden,"['Nick Leeson', 'Edward Whitley', 'Ewan McGregor', 'Anna Friel', 'Cristian Solimeno']",James Dearden,-1999,/title/tt0131566/,9.204,104.0,False,http://image.tmdb.org/t/p/w500/t10DvWj5Yeog5jsJZuBoFDJJbhP.jpg,101.0,He'll risk everything to beat the system.
Waffle Street,not-released,6.2,5.2K,"['Comedy', 'Drama']","After being fired as VP in a big mortgage fund (fall guy), Jim decides on a complete change and starts work at a 24/7 diner.","['work', 'diner', 'based on memoir or autobiography', 'waffle', 'riches to rags']",Eshom Nelms,"['Autumn McAlpin', 'Eshom Nelms', 'Ian Nelms', 'James Lafferty', 'Danny Glover']",Ian Nelms,-2015,/title/tt3881680/,5.967,114.0,False,http://image.tmdb.org/t/p/w500/cEwd2dCQogFt0oZpfnDwQ88x5wz.jpg,86.0,
Mockingbird Don't Sing,1 hour 38 minutes,6.4,2K,"['Biography', 'Drama']","Based on the actual events of one of the most horrific cases of child abuse ever to be documented, this haunting drama tells the tale of a young girl that was locked in a room for over 12 years.","['1970s', 'year 1970', '13 year old', '13 year old girl', 'feral child', 'november', 'winter', 'abuse', 'abused child', 'abusive father', 'child abuse', 'feral child', 'based on true story', 'tragedy', 'scientist', 'linguist', 'child neglect', 'linguistics']",Harry Bromley Davenport,"['Melissa Errico', 'Michael Lerner', 'Joe Regalbuto', 'Harry Bromley Davenport', 'Daryl Haney']",Daryl Haney,-2001,/title/tt0273822/,4.785,27.0,False,http://image.tmdb.org/t/p/w500/x50tfqNxTRFtk4k70sWSvt4MEYg.jpg,98.0,She was little more than a wild animal. And only one woman had the gift to heal her.
Heaven's Prisoners,2 hours 12 minutes,5.8,5.4K,"['Drama', 'Mystery', 'Thriller']","A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened.","['based on novel', 'villainess', 'female full frontal nudity', 'old flame', 'orphan', 'drinking', 'airplane crash', 'new orleans louisiana', 'adopted daughter', 'femme fatale', 'alcohol', 'detective', 'confession', 'based on novel or book', 'louisiana', 'assault', 'stripper', 'revenge', 'murder', 'drugs']",Phil Joanou,"['Harley Peyton', 'Scott Frank', 'Alec Baldwin', 'Kelly Lynch', 'Mary Stuart Masterson']",James Lee Burke,-1996,/title/tt0116508/,6.66,68.0,False,http://image.tmdb.org/t/p/w500/yUWVNHA3dVc1CmxNIcXZWqbqWc8.jpg,132.0,"For an ex-cop obsessed with an unsolved murder, trusting the wrong woman could be a deadly choice."
The Last Supper,"$459,749",6.7,15K,"['Comedy', 'Crime', 'Drama']","A group of idealistic, but frustrated, liberals succumb to the temptation of murdering rightwing pundits for their political beliefs.","['dinner', 'iowa', 'dinner party', 'murder', 'victim invited to dinner', 'painter', 'tomato', 'vigilantism', 'politics', 'black comedy', 'painter', 'fascist', 'sexism', 'politics', 'wine', 'racist', 'satire', 'murder', 'priest', 'dark comedy', 'dinner', 'stabbing', 'death', 'hypocrisy', 'woman director', 'elitism', 'burial', 'horror comedy']",Stacy Title,"['Cameron Diaz', 'Ron Eldard', 'Annabeth Gish', 'Stacy Title', 'Dan Rosen']",Dan Rosen,-1995,/title/tt0113613/,12.009,233.0,False,http://image.tmdb.org/t/p/w500/oIgPiiM0qD1mCo1SYG3Sd0vmKTa.jpg,92.0,Love... Sex... Life... Death. In this house it's all on the table.
Boot Camp,1 hour 39 minutes,5.8,8.9K,"['Crime', 'Drama', 'Thriller']","A group of at-risk teens are sent to a what they think is a rehabilitation program on Fiji, but it's really a prison-like camp where kids are abused and brainwashed.","['kicked in the balls', 'island', 'boot camp', 'problem child', 'male rear nudity', 'sex', 'male nudity', 'female nudity', 'barefoot male', 'death', 'boot camp', 'reality spoof']",Christian Duguay,"['John Cox', 'Mila Kunis', 'Gregory Smith', 'Peter Stormare', 'Christian Duguay']",Agatha Dominik,-2008,/title/tt0870204/,13.133,178.0,False,http://image.tmdb.org/t/p/w500/rSAIVxNJGRGcfvnzUzsL2VZJL7g.jpg,99.0,Every year troubled teens are sent away to change their lives. On this island they must fight to save them.
R100,1 hour 39 minutes,6,2.6K,"['Comedy', 'Drama']",A man in search of joy hires a bondage club to have dominatrices surprise him at random times.,"['dominatrix', 'bare chested male bondage', 'black pantyhose', 'nylons', 'pantyhose', 'pantyhose legs', 'fishnet stockings', 'sexy woman', 'woman wears lingerie', 'woman wears fishnet stockings', 'dominatrix', 'bdsm']",Hitoshi Matsumoto,"['Mitsuyoshi Takasu', 'Tomoji Hasegawa', 'Nao Ômori', 'Mao Daichi', 'Shinobu Terajima']",Hitoshi Matsumoto,-2013,/title/tt2914838/,6.368,81.0,False,http://image.tmdb.org/t/p/w500/qFdPIMXSBraNyMWwrWvYtJ9fT8g.jpg,100.0,M For Father
Trees Lounge,1 hour 35 minutes,7.1,16K,"['Comedy', 'Drama']","Tommy is an unemployed mechanic who spends most of his time in a bar (Trees Lounge) in a small blue collar town. He seems to always be thinking, ""If only X then I could stop drinking"".","['drinking beer', 'beer', 'ice cream', 'bar', 'drinking', 'ice cream truck', 'ex girlfriend', 'drunk', 'drink', 'alcoholic drink', 'alcohol', 'alcoholism', 'drinking', 'ice cream man \xa0', 'uncle niece relationship', 'ice cream truck', 'barflies']",Steve Buscemi,"['Steve Buscemi', 'Carol Kane', 'Mark Boone Junior', 'Steve Buscemi', 'Steve Buscemi']",Steve Buscemi,-1996,/title/tt0117958/,10.457,165.0,False,http://image.tmdb.org/t/p/w500/2DtoVhI9RkArGbzkvctGxY578QN.jpg,95.0,A story about one man's search... for who knows what
Eureka,2 hours 10 minutes,5.9,3.4K,"['Drama', 'Thriller']","In 1925, Arctic prospector Jack McCann (Gene Hackman) becomes a rich man when he strikes gold, but twenty years later, he faces major personal and family problems.","['wellesian', 'year 1925', '1920s', '20th century', 'interwar period', 'year 1945', '1940s', 'caribbean sea', 'caribbean', 'timeframe 1920s', 'island', 'greed', 'wealth']",Nicolas Roeg,"['Paul Mayersberg', 'Robert W. Service', 'Gene Hackman', 'Theresa Russell', 'Rutger Hauer']",Marshall Houts,-1983,/title/tt0083906/,6.508,64.0,False,http://image.tmdb.org/t/p/w500/fkeXtf4ePBRvrAAtOeytNwsUHxn.jpg,130.0,"Richer than Getty, stranger than Hughes, the bizarre tale of Jack McCann."
Creation Stories,1 hour 45 minutes,6.1,1.3K,"['Biography', 'Drama', 'Music']",Creation Stories tells the unforgettable tale of infamous Creation Records label head Alan McGee; and of how one written-off young Glaswegian upstart rose to irrevocably change the face of British culture.,"['scottish man', 'redheaded man', '1980s music', '1990s music', 'impresario', 'britpop', 'rags to riches', 'success story', 'scotsman in america', 'drug use']",Nick Moran,"['Irvine Welsh', 'Ewen Bremner', 'Leo Flanagan', 'Richard Jobson', 'Nick Moran']",Dean Cavanagh,-2021,/title/tt5693182/,8.638,19.0,False,http://image.tmdb.org/t/p/w500/2qjWOHYUjJhw5qe86Qk790vaegf.jpg,110.0,
