movie title,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,path,Popularity,Votes,Adult,Poster Image,Runtime,Taglines
Shang-Chi and the Legend of the Ten Rings,"['Action', 'Adventure', 'Fantasy']","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.","[{'id': 779, 'name': 'martial arts'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9917, 'name': 'mixed martial arts'}, {'id': 14988, 'name': 'east asian lead'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}, {'id': 240119, 'name': 'father son relationship'}]",Destin Daniel Cretton,"['Destin Daniel Cretton', 'Andrew Lanham', 'Simu Liu', 'Awkwafina', 'Tony Chiu-Wai Leung']",Dave Callaham,/title/tt9376612/,117.12,8499.0,False,http://image.tmdb.org/t/p/w500/9f2Q0U3IOsLgrI2HkvldwSABZy5.jpg,132.0,You can't outrun your destiny.
Ghostbusters,"['Action', 'Comedy', 'Fantasy']","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.","[{'id': 5248, 'name': 'female friendship'}, {'id': 15040, 'name': 'ghost hunting'}, {'id': 161184, 'name': 'reboot'}, {'id': 162846, 'name': 'ghost'}]",Ivan Reitman,"['Harold Ramis', 'Rick Moranis', 'Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver']",Dan Aykroyd,/title/tt0087332/,49.038,5985.0,False,http://image.tmdb.org/t/p/w500/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg,117.0,Who You Gonna Call?
The Hunger Games,"['Action', 'Adventure', 'Sci-Fi']",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 2020, 'name': 'revolution'}, {'id': 4565, 'name': 'dystopia'}, {'id': 11322, 'name': 'female protagonist'}, {'id': 18101, 'name': 'bow and arrow'}, {'id': 18249, 'name': 'game'}, {'id': 53995, 'name': 'archery'}, {'id': 157376, 'name': 'death match'}, {'id': 238140, 'name': 'forced to kill'}, {'id': 246466, 'name': 'based on young adult novel'}]",Gary Ross,"['Suzanne Collins', 'Billy Ray', 'Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",Gary Ross,/title/tt1392170/,43.359,20658.0,False,http://image.tmdb.org/t/p/w500/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,142.0,May The Odds Be Ever In Your Favor.
The Mortal Instruments: City of Bones,"['Action', 'Adventure', 'Fantasy']","When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.","[{'id': 290, 'name': 'angel'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 3133, 'name': 'vampire'}, {'id': 12564, 'name': 'werewolf'}, {'id': 157667, 'name': 'warlock'}, {'id': 186420, 'name': 'downworlder'}, {'id': 186423, 'name': 'shadowhunter'}, {'id': 186425, 'name': 'demon hunter'}, {'id': 246466, 'name': 'based on young adult novel'}]",Harald Zwart,"['Cassandra Clare', 'Lily Collins', 'Jamie Campbell Bower', 'Robert Sheehan', 'Harald Zwart']",Jessica Postigo,/title/tt1538403/,33.033,4276.0,False,http://image.tmdb.org/t/p/w500/fspW2P3ggzBjdIw5HpJOw8HKtQK.jpg,130.0,You have been chosen
Black Widow,"['Action', 'Adventure', 'Sci-Fi']",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"[{'id': 470, 'name': 'spy'}, {'id': 782, 'name': 'assassin'}, {'id': 1701, 'name': 'hero'}, {'id': 3278, 'name': 'kgb'}, {'id': 9717, 'name': 'based on comic'}, {'id': 12367, 'name': 'female assassin'}, {'id': 18117, 'name': 'female spy'}, {'id': 160137, 'name': 'female hero'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}, {'id': 187056, 'name': 'woman director'}]",Cate Shortland,"['Jac Schaeffer', 'Ned Benson', 'Scarlett Johansson', 'Florence Pugh', 'David Harbour']",Eric Pearson,/title/tt3480822/,84.325,9317.0,False,http://image.tmdb.org/t/p/w500/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,134.0,Her world. Her secrets. Her legacy.
Willow,"['Action', 'Adventure', 'Drama']",A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.,"[{'id': 530, 'name': 'prophecy'}, {'id': 769, 'name': 'falsely accused'}, {'id': 1009, 'name': 'baby'}, {'id': 1299, 'name': 'monster'}, {'id': 1701, 'name': 'hero'}, {'id': 2011, 'name': 'queen'}, {'id': 2052, 'name': 'traitor'}, {'id': 2343, 'name': 'magic'}, {'id': 3098, 'name': 'castle'}, {'id': 3873, 'name': ""sorcerer's apprentice""}, {'id': 4252, 'name': 'black magic'}, {'id': 5160, 'name': 'animal attack'}, {'id': 10364, 'name': 'mission'}, {'id': 234213, 'name': 'sword and sorcery'}]",Ron Howard,"['Bob Dolman', 'Val Kilmer', 'Joanne Whalley', 'Warwick Davis', 'Ron Howard']",George Lucas,/title/tt0096446/,21.324,1760.0,False,http://image.tmdb.org/t/p/w500/d9xEILdvVRX8ZgFwPDbco6kKSaS.jpg,126.0,Adventure doesn't come any bigger than this.
Independence Day,"['Action', 'Adventure', 'Sci-Fi']","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.","[{'id': 797, 'name': 'showdown'}, {'id': 1612, 'name': 'spacecraft'}, {'id': 1627, 'name': 'patriotism'}, {'id': 1825, 'name': 'countdown'}, {'id': 4097, 'name': 'independence'}, {'id': 4278, 'name': 'invasion'}, {'id': 9738, 'name': 'ufo'}, {'id': 9739, 'name': 'extraterrestrial'}, {'id': 9951, 'name': 'alien'}, {'id': 13031, 'name': 'creature'}, {'id': 14643, 'name': 'battle'}, {'id': 14909, 'name': 'alien invasion'}, {'id': 176217, 'name': 'world domination'}, {'id': 177163, 'name': 'area 51'}, {'id': 186497, 'name': 'human vs alien'}, {'id': 269233, 'name': 'good versus evil'}]",Roland Emmerich,"['Roland Emmerich', 'Will Smith', 'Bill Pullman', 'Jeff Goldblum', 'Roland Emmerich']",Dean Devlin,/title/tt0116629/,48.032,8897.0,False,http://image.tmdb.org/t/p/w500/p0BPQGSPoSa8Ml0DAf2mB2kCU0R.jpg,145.0,Don't make plans for August.
Mission: Impossible - Rogue Nation,"['Action', 'Adventure', 'Thriller']",Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"[{'id': 212, 'name': 'london, england'}, {'id': 470, 'name': 'spy'}, {'id': 1201, 'name': 'austria'}, {'id': 1295, 'name': 'europe'}, {'id': 1629, 'name': 'morocco'}, {'id': 3289, 'name': 'villain'}, {'id': 9663, 'name': 'sequel'}, {'id': 10364, 'name': 'mission'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 18267, 'name': 'vienna, austria'}, {'id': 160852, 'name': 'vienna opera'}]",Christopher McQuarrie,"['Christopher McQuarrie', 'Drew Pearce', 'Tom Cruise', 'Rebecca Ferguson', 'Jeremy Renner']",Bruce Geller,/title/tt2381249/,58.795,8195.0,False,http://image.tmdb.org/t/p/w500/jwqL7croP7JMVfz0l9o7V4yJsJO.jpg,131.0,Desperate times. Desperate measures.
Casino Royale,"['Action', 'Adventure', 'Thriller']","After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.","[{'id': 131, 'name': 'italy'}, {'id': 383, 'name': 'poker'}, {'id': 585, 'name': 'casino'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 3515, 'name': 'banker'}, {'id': 10594, 'name': 'money'}, {'id': 10609, 'name': 'free running'}, {'id': 13006, 'name': 'torture'}, {'id': 13015, 'name': 'terrorism'}, {'id': 14555, 'name': 'mi6'}, {'id': 156095, 'name': 'british secret service'}, {'id': 206125, 'name': 'montenegro'}]",Martin Campbell,"['Robert Wade', 'Paul Haggis', 'Daniel Craig', 'Eva Green', 'Judi Dench']",Neal Purvis,/title/tt0381061/,35.138,9973.0,False,http://image.tmdb.org/t/p/w500/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg,144.0,Everyone has a past. Every legend has a beginning.
The Fifth Element,"['Action', 'Adventure', 'Sci-Fi']","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.","[{'id': 83, 'name': 'saving the world'}, {'id': 242, 'name': 'new york city'}, {'id': 391, 'name': 'flying car'}, {'id': 444, 'name': 'taxi'}, {'id': 679, 'name': 'cyborg'}, {'id': 1160, 'name': 'egypt'}, {'id': 2095, 'name': 'anti hero'}, {'id': 3622, 'name': 'stowaway'}, {'id': 3801, 'name': 'space travel'}, {'id': 4565, 'name': 'dystopia'}, {'id': 4776, 'name': 'race against time'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 6163, 'name': 'arms dealer'}, {'id': 10093, 'name': 'priest'}, {'id': 10150, 'name': 'end of the world'}, {'id': 10950, 'name': 'shootout'}, {'id': 11148, 'name': 'police chase'}, {'id': 11290, 'name': 'cab driver'}, {'id': 12190, 'name': 'cyberpunk'}, {'id': 34117, 'name': 'cult film'}, {'id': 41586, 'name': 'archaeologist'}, {'id': 161176, 'name': 'space opera'}, {'id': 162365, 'name': 'military'}, {'id': 164920, 'name': 'opera singer'}, {'id': 214715, 'name': 'futuristic city'}, {'id': 229863, 'name': 'ancient evil'}, {'id': 234630, 'name': 'cruise liner'}, {'id': 244607, 'name': 'elemental'}, {'id': 248516, 'name': 'hieroglyphics'}, {'id': 252937, 'name': 'spaceship'}, {'id': 269233, 'name': 'good versus evil'}, {'id': 303848, 'name': 'alien robot'}]",Luc Besson,"['Robert Mark Kamen', 'Bruce Willis', 'Milla Jovovich', 'Gary Oldman', 'Luc Besson']",Luc Besson,/title/tt0119116/,64.516,9967.0,False,http://image.tmdb.org/t/p/w500/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,126.0,There is no future without it.
