movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path,Popularity,Votes,Adult,Poster Image,Runtime,Taglines
Peter Rabbit,1 hour 35 minutes,6.5,42K,"['Adventure', 'Comedy', 'Crime']",A rebellious rabbit tries to sneak into a farmer's vegetable garden.,"['rabbit', 'deer', 'mouse', 'fox', 'pig', 'talking rabbit', 'painter', 'jealousy', 'triplets', 'character name as title', 'human animal relationship', ""based on children's book"", 'rabbit', 'duringcreditsstinger', 'live action and animation', 'peter rabbit', 'food allergies']",Will Gluck,"['Will Gluck', 'Beatrix Potter', 'James Corden', 'Fayssal Bazzi', 'Domhnall Gleeson']",Rob Lieber,-2018,/title/tt5117670/,22.243,1641.0,False,http://image.tmdb.org/t/p/w500/lugOvdaNpbVGQK9TyMRDiUbLtY6.jpg,93.0,Who said the countryside was peaceful?
Time Is Up,1 hour 48 minutes,4.1,1.9K,"['Drama', 'Romance']","An accident will force 'Vivien' and Royan to come to a stop and reclaim their lives, one minute at the time, and finally start living in a present that perhaps will prove to be more exciting than any predefined.","['accident', 'nipple piercing', 'nipple pierced']",Elisa Amoruso,"['Patrizia Fiorellini', 'Elisa Amoruso', 'Bella Thorne', 'Benjamin Mascolo', 'Sebastiano Pigazzi']",Marco Belardi,-2021,/title/tt13438734/,18.45,604.0,False,http://image.tmdb.org/t/p/w500/dxWHyMY4HoXH8LiEhYlga2OtK5B.jpg,108.0,Falling in love is a state of change.
Next Goal Wins,not-released,no-rating,0,"['Comedy', 'Drama', 'Sport']","Adaptation of the 2014 British documentary. The story of the American Samoa soccer team, who suffered the worst loss in World Cup history, losing to Australia 31-0 in 2001.","['soccer', 'soccer team', 'soccer player', 'football', 'friend', 'joke', 'goal', 'field', 'squad', 'elite', 'world cup', 'coach', 'football (soccer)']",Taika Waititi,"['Iain Morris', 'Angus Sampson', 'Michael Fassbender', 'Rhys Darby', 'Taika Waititi']",Taika Waititi,-2022,/title/tt10767052/,9.632,0.0,False,http://image.tmdb.org/t/p/w500/zWmKqcox4AgM3deEEVCeYqEOOJ2.jpg,103.0,Be happy.
Sliding Doors,1 hour 39 minutes,6.7,67K,"['Comedy', 'Drama', 'Fantasy']","A London woman's love life and career both hinge, unknown to her, on whether or not she catches a train. We see it both ways, in parallel.","['multiple outcomes', 'twist of fate', 'serendipity', 'parallel time', 'destiny', 'luck', 'reference to a zodiac sign', 'zodiac sign', 'reference to aries the constellation', 'reference to planet mars', 'double life', 'commercial', 'chance', 'marketing', 'time travel', 'in flagranti', 'alternative reality']",Peter Howitt,"['Gwyneth Paltrow', 'John Hannah', 'John Lynch', 'Peter Howitt', 'Peter Howitt']",Peter Howitt,-1998,/title/tt0120148/,18.977,1200.0,False,http://image.tmdb.org/t/p/w500/s8VOVTywXZIIHqdEjkCZziH0ebq.jpg,99.0,What if one split second sent your life in two completely different directions?
A Bigger Splash,"$2,024,099",6.4,30K,"['Drama', 'Music', 'Thriller']",The vacation of a famous rock star and her boyfriend in Italy is disrupted by the unexpected visit of an old friend and his daughter.,"['female frontal nudity', 'pubic hair', 'skinny dipping', 'obnoxious visitor', 'rock star', 'italian', 'extramarital affair', 'infidelity', 'unfaithful wife', 'cheating wife', 'italy', 'fish', 'rock star', 'vacation', 'rock concert']",Luca Guadagnino,"['Jacques Deray', 'Alain Page', 'Tilda Swinton', 'Matthias Schoenaerts', 'Ralph Fiennes']",David Kajganich,-2015,/title/tt2056771/,15.259,701.0,False,http://image.tmdb.org/t/p/w500/hQ8vLJyws0tAYbBmzpTKbjdNHKI.jpg,125.0,
Lost and Delirious,"$307,233",6.8,21K,"['Drama', 'Romance']","After starting at an upmarket boarding school, a teenage girl forms close friendships with her two older roommates. However, when she discovers that her new friends are lovers she finds herself caught in a complicated situation.","[""girls' boarding school"", 'teenage sexuality', 'lesbian romance', 'lesbian relationship', 'private school', 'lesbians caught in bed', 'forbidden love', 'teenage sex', 'sex with a student', 'sex in bed', 'based on novel or book', 'roommate', 'identity', 'love', 'school', 'discovery', 'woman director', 'lesbian']",Léa Pool,"['Judith Thompson', 'Piper Perabo', 'Jessica Paré', 'Mischa Barton', 'Léa Pool']",Susan Swan,-2001,/title/tt0245238/,18.669,458.0,False,http://image.tmdb.org/t/p/w500/3Cu95A09arsfTsOJfygVwhJe5qc.jpg,103.0,Friends. Roommates. Lovers.
The Secret: Dare to Dream,1 hour 47 minutes,6.5,14K,"['Drama', 'Romance']","A feature film adaptation of the self-help book, 'The Secret', which focuses on the power of positive thinking.","['hurricane', 'new orleans louisiana', 'fish buyer', 'boyfriend girlfriend relationship', 'restaurant manager', 'mother son relationship', 'mother daughters relationship', 'engineering teacher', 'nashville tennessee', 'vanderbilt university', 'based on novel or book', 'love']",Andy Tennant,"['Andy Tennant', 'Rick Parks', 'Katie Holmes', 'Josh Lucas', 'Celia Weston']",Bekah Brunstetter,-2020,/title/tt4411584/,19.953,531.0,False,http://image.tmdb.org/t/p/w500/5mCqEeBA0MW7H6akFrFQXJu68rU.jpg,107.0,
The Housemaid,"$157,961",6.4,11K,"['Drama', 'Thriller']",A man's affair with his family's housemaid leads to dark consequences.,"['mother in law son in law relationship', 'power of money', 'abuse of power', 'jealous wife', 'south korea', 'scene of the crime', 'reference to fyodor dostoevsky', ""reference to fyodor dostoevsky's the idiot"", 'reference to the idiot', 'reference to the idiot the novel']",Im Sang-soo,"['Im Sang-soo', 'Jeon Do-yeon', 'Lee Jung-jae', 'Youn Yuh-jung', 'Im Sang-soo']",Kim Ki-young,-2021,/title/tt15887102/,8.734,8.0,False,http://image.tmdb.org/t/p/w500/6QgSlS0IV9jlDadjdVrrN4quqEM.jpg,114.0,
Jug Jugg Jeeyo,not-released,7.6,14K,"['Comedy', 'Drama', 'Family']","A story set in the heart of Patiala and much like the city, it's full of love and laughter, colour and drama. This story is all about family and its values, unresolved yearnings and unexpected reconciliations. A good family entertainer","['reconciliation', 'husband wife relationship', 'marriage', 'divorce', 'reconciliation']",Raj Mehta,"['Rishhabh Sharrma', 'Anurag Singh', 'Varun Dhawan', 'Kiara Advani', 'Anil Kapoor']",Sumit Batheja,-2022,/title/tt13449624/,4.787,25.0,False,http://image.tmdb.org/t/p/w500/ovyWtXhPRKKpSyMUIVYBWiurggY.jpg,148.0,"A family reunion, full of surprises"
Moneyboys,not-released,6.4,526,['Drama'],"Fei works illegally as a hustler in order to support his family, yet when he realizes they are willing to accept his money but not his way of life, there is a major breakdown in their relations. Through his relationship to the headstrong Long, Fei seems able to find a new lease o... Read all","['prostitute', 'male prostitute', 'prostitution', 'lgbt', 'taipei', 'rent boy', 'gay theme']",C.B. Yi,"['Kai Ko', 'Chloe Maayan', 'Yufan Bai', 'C.B. Yi', 'C.B. Yi']",C.B. Yi,-2021,/title/tt11783988/,9.213,26.0,False,http://image.tmdb.org/t/p/w500/xW3xt3AKXVML2WcizhagF27YdzU.jpg,116.0,
