movie title,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,path
Polis Evo,['Action'],Big city cop and small-town-big-cop must learn to work together in order to take down Malaysia's biggest drug lord.,"['swat', 'police officer bombed', 'police ambush', 'police officer killed in hospital', 'police shootout', 'police officer shot in the chest', 'police officer shot', 'police officer killed', 'police officer']",Ghaz Abu Bakar,"['Kyle Goonting', 'Joel Soh', 'Shaheizy Sam', 'Zizan Razak', 'Nora Danish']",Anwari Ashraf,/title/tt5132854/
Hell's Garden,"['Action', 'Comedy']","Naoko Tanaka is a 26-year-old office lady. Her job is typical, but her workplace has fierce fights among different cliques. Other office ladies are absorbed in the daily clique fighting. One day, due to an office lady at the company, Naoko's company is targeted by office lady fro... Read all","['office', 'battle', 'ladies group']",Kazuaki Seki,"['Mei Nagano', 'Alice Hirose', 'Nanao', 'Kazuaki Seki', 'Bakarhythm']",Bakarhythm,/title/tt14605182/
Yudh,"['Action', 'Crime', 'Drama']","Savitri's twin sons get s abducted by a criminal named Gama Mating. In need of a son, Savitri adopt a young boy, but searches frantically for her twin babies. Years later her adopted son Vicky becomes a police inspector and he too begins to search for his brothers but all efforts... Read all","['tough cop', 'double life', 'investigation', 'public prosecutor', 'murder', 'police officer', 'kidnapping', 'tough guy', 'villain', 'mother son relationship']",Rajiv Rai,"['Rajiv Rai', 'Naeem Sha', 'Jackie Shroff', 'Anil Kapoor', 'Tina Ambani']",K.A. Narayan,/title/tt0090358/
Vaasna,"['Action', 'Crime', 'Drama']",A businessman faces financial and then criminal troubles after taking to alcohol.,['criminal'],T. Prakash Rao,"['Gulshan Nanda', 'Raaj Kumar', 'Padmini', 'Kumud Chuggani', 'T. Prakash Rao']",Inder Raj Anand,/title/tt0254843/
Syahadan,['Action'],Omar is sent by his father to study silat under Pak Daud. He then has to confront a gang of child kidnappers headed by Zed Punk.,['silat'],Halim Hassan,"['Taqiyuddin Hamid', 'Al Jufferi Jamari', 'Fauzi Khalid', 'Halim Hassan', 'Fairus Hussain']",Fairus Hussain,/title/tt16443062/
Roller Blade,"['Action', 'Comedy', 'Sci-Fi']","In a futuristic society, rebels fighting against a fascist state are aided by a group of roller-skating nuns called the Bod Sisters.","['exploitation', 'female warrior', 'bare breasts', 'female pubic hair', 'female rear nudity', 'naked woman', 'leotard', 'thong', 'fight to the death', 'bathtub']",Donald G. Jackson,"['Randall Frakes', 'Suzanne Solari', 'Jeff Hutchinson', 'Shaun Michelle', 'Donald G. Jackson']",Donald G. Jackson,/title/tt0089930/
Anak ni Zuma,"['Action', 'Horror', 'Sci-Fi']","IN THIS SEQUEL, ZUMA, THE SERPENT-MAN-MONSTER COMES BACK WITH A VENGEANCE AND THIS TIME HE IS WITH HIS SON WHO IS JUST AS VICIOUS.","['reptilian humanoid', 'humanoid snake', 'actual animal killed', 'snake', 'female victim', 'sequel', 'second part', 'father daughter relationship', 'monster', 'father child relationship']",Ben Yalung,"['Ben Yalung', 'Tony Calvento', 'Max Laurel', 'Dang Cecilio', ""Rey 'PJ' Abellana""]",Jim Fernandez,/title/tt0273080/
The Item,"['Action', 'Comedy', 'Crime']","Four convicts become embroiled in what seems like an easy way to get a million dollars. Enlisted to pick up a sealed box and guard it for one day, the four men let their curiosity take over and decide to look at its contents.","['splatter comedy', 'desert', 'package', 'worm', 'apartment', 'death', 'shot to death', 'handgun', 'assignment', 'scientist']",Dan Clark,"['DawnMarie Ferrara', 'Dan Clark', 'Dave Pressler', 'Dan Clark', 'Dan Clark']",Dan Clark,/title/tt0181602/
Mexican Gangster 2: Venganza,['Action'],Biopic of Johnny Sun whose father was Mexican and mother was of Irish descendant decides to go straight after a life of crime. After finding out there was no other way to keep his family alive he chooses to go back to the other side.,[],Damian Chapa,"['Damian Chapa', 'Daniel Ramos', 'Bert Lopez', 'Damian Chapa', 'Damian Chapa']",Damian Chapa,/title/tt15670208/
The Rig,"['Action', 'Adventure', 'Horror']","In the midst of a tropical storm, the crew of an offshore oil rig must survive the rampage of a creature after invading its undersea habitat.","['oil rig', 'psychotronic film', 'timeframe 2010s', 'oil', 'creature', 'storm', 'death', 'ocean', 'man versus monster', 'creature feature']",Peter Atencio,"['C.W. Fallin', 'Lori j Falzone chavez', 'William Forsythe', 'Stacey Hinnen', ""Serah D'Laine""]",Scott Martin,/title/tt1093906/
Quiet Cool,['Action'],"Joe Dylanne is a plainclothes NYC cop with a badge... and a robust personality. He always resorts to unconventional methods in order to capture the city's slickest criminals. When Dylanne receives a message from Katy, an old sweetheart of his, the news is not as pleasant as he an... Read all","['sawed off shotgun', 'drug lord', 'marijuana', 'revenge', 'action hero', 'tough guy', 'one man army', 'tough cop', 'small town', 'forest']",Clay Borris,"['Susan Canova Vercellino', 'James Remar', 'Daphne Ashbrook', 'Adam Coleman Howard', 'Clay Borris']",Clay Borris,/title/tt0091815/
Tiger Claws III,"['Action', 'Fantasy']","When a martial artist called Stryker resurrects three ancient Chinese master assassins so he can take over NYC's underworld, it's up to martial artist cop Tarek Richards to stop them. But he will need the aid of Stryker's former master.","['low budget', 'martial artist', 'new york', 'ritual', 'new york city', 'severed ear', 'eyeball', 'martial arts master', 'female martial artist', 'chop socky']",J. Stephen Maunder,"['Jalal Merhi', 'Cynthia Rothrock', 'Loren Avedon', 'J. Stephen Maunder', 'J. Stephen Maunder']",J. Stephen Maunder,/title/tt0197951/
Dhagad Saamba,"['Action', 'Comedy', 'Drama']","Dhagad Samba go to Hyderabad and become the tenant of a house. Samba and PK fall in love with their owner's daughters. When everything goes well, Samba gets to know a shocking truth. To know everything, you need to watch the main film",[],N.R. Reddy,"['Chalaki Chanti', 'Jyothi Rana', 'N.R. Reddy', 'Sampoornesh Babu', 'Chalaki Chanti']",Sampoornesh Babu,/title/tt20228436/
Ram Lakhan,"['Action', 'Comedy', 'Drama']","Ram Lakhan is the story of two brothers who part ways due to their ideological differences, but how they come to each other's rescue as the story unfolds.","['gun shot out of hand', 'escape from prison', 'police', 'explosion', 'beating', 'horse', 'held at gunpoint', 'gun battle', 'hostage', 'character names as title']",Subhash Ghai,"['Ram Kelkar', 'Anwar Khan', 'Rakhee Gulzar', 'Jackie Shroff', 'Anil Kapoor']",Subhash Ghai,/title/tt0098168/
Under Lock and Key,"['Action', 'Crime', 'Drama']",A drug lord's prison connections make this a dangerous and deadly assignment for undercover FBI agent Danielle Peters.,"['female pubic hair', 'female full frontal nudity', 'prison', 'prison guard', ""women's prison"", 'erotica', 'nice girl in prison', 'red dress', 'blonde', 'sexual attraction']",Henri Charr,"['Jess Mancilla', 'John B. Pfeifer', 'Wendi Westbrook', 'Barbara Niven', 'Taylor Leigh']",Henri Charr,/title/tt0114780/
