movie title,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,path
Alpha Squad Seven,"['Action', 'Comedy', 'Sci-Fi']",none,[],See company contact information,"['See producer', 'See preliminary cast']",See writer,/title/tt4677890/
Helix,"['Action', 'Mystery', 'Sci-Fi']",A recently promoted cop's lavish new lifestyle is jeopardized when the central computer system that governs his futuristic city pins him for a murder he didn't commit. Now he must return to the ruins he once called home in order to prove his innocence.,[],Eric Petey,"['Marc Petey', 'Robert L. Duncan', 'David Stuart', 'Eric Petey', 'Eric Petey']",Eric Petey,/title/tt1764355/
Concrete Rose,"['Action', 'Drama', 'Mystery']","Inspired by a true story, Concrete Rose the very first Latino film in South Bend Indiana history to be made. ""Concrete Rose"" is about the daughter of a powerful man who falls in love with a guitar player and the trails they go through to be together from a forbidding father. Roma... Read all",[],Jon Villanueva,"['Joseph T. Campos', 'Jon Villanueva', 'Selene Morales', 'Jon Villanueva', 'Jon Villanueva']",Jon Villanueva,/title/tt11483068/
Strong Hawk: My Sister's Keeper,"['Action', 'Adventure', 'Sci-Fi']",Strong Hawk: My Sister's Keeper is about a family of sisters who lost their parents over a decade ago and now discover they have powers. They attempt to help their community by acting as vigilantes but their heroic efforts make the ladies vulnerable to their natural enemies. This... Read all,[],Ramasses Head,"['Lynell Aldafari', 'Charles Alexander', 'Kara Anderson', 'Ramasses Head', 'Damon A. Hart']",Damon A. Hart,/title/tt9348566/
Prison-a-Go-Go!,"['Action', 'Comedy']","A women-in-prison action comedy featuring girls running amok! Multiple Shower Scenes! Kung Fu Food Fights! Mutant Zombies! Evil Scientists, Prominent Product Placement, and Mud Wrastlin!","['shower', 'women in prison', 'female removes her clothes', 'nice girl in prison', 'white panties', 'panties', 'bare breasts', 'topless female nudity', 'scantily clad female', 'cleavage']",Barak Epstein,"['Mike Wiebe', 'Rhonda Shear', 'Mary Woronov', 'Laurie Walton', 'Barak Epstein']",Barak Epstein,/title/tt0339534/
Ichi,"['Action', 'Crime', 'Drama']","Ichi is a blind woman who roams about town with her shamisen (a three-stringed Japanese guitar), but she has exceptional sword skills with which she fights off yakuza and other villains.","['japanese woman', 'japanese', 'blind woman', 'blind prostitute', 'asian', 'blind protagonist', 'rape and revenge', 'sword', 'female protagonist', 'attempted rape']",Fumihiko Sori,"['Taeko Asano', 'Haruka Ayase', 'Shidô Nakamura', 'Yôsuke Kubozuka', 'Fumihiko Sori']",Kan Shimozawa,/title/tt1060256/
Talons of the Eagle,"['Action', 'Adventure']","After 3 DEA agents are killed by Mr. Li, martial arts champion Tyler Wilson is sent on assignment to Toronto and teams up with Michael Reeds. Wilson and Reeds enter a martial arts tournament, where they end up saving Mr. Li from being killed by a rival crime boss. Li invites the ... Read all","['sex scene', 'lingerie', 'violence', 'undercover agent', 'nudity', 'murder', 'toronto ontario canada', 'martial arts tournament', 'crime boss', 'evidence']",Michael Kennedy,"['Jalal Merhi', 'Billy Blanks', 'James Hong', 'Michael Kennedy', 'J. Stephen Maunder']",J. Stephen Maunder,/title/tt0105530/
Unda,"['Action', 'Comedy', 'Thriller']",The film narrates the events that occur when a unit of policemen from Kerala reach the Naxalite prone areas in North India for election duty.,['election'],Khalid Rahman,"['Harshad', 'Ashik Padinjattil', 'Mammootty', 'Asif Ali', 'Easwari Rao']",Khalid Rahman,/title/tt7581552/
I am not a terrorist,['Action'],Islam and terrorism have nothing in common. The lack of purpose in life encourages young people to join the radicals. The main goal of the film is to show the audience the reverse side of the romanticized life of ISIS fighters.,[],Mukhammad Ali Iskandarov,"['Shakhrukh Rakhimov', 'Bekzod Tadjiev', 'Mukhammad Ali Iskandarov', 'Mahkamov Otabek', 'Shakhrukh Rakhimov']",Mahkamov Otabek,/title/tt17318026/
Spaghettiman,"['Action', 'Comedy', 'Crime']","Clark doesn't care about you. He doesn't care about the world. He barely cares about himself. But after an incident with an old bowl of spaghetti and a malfunctioning microwave, he becomes a superhero that can fight crime with the power of spaghetti. However, you have to pay him.",[],Mark Potts,"['Benjamin Crutcher', 'Mark Potts', 'Benjamin Crutcher', 'Winston Carter', 'Brand Rackley']",Winston Carter,/title/tt4626970/
Captain Sindbad,"['Action', 'Adventure', 'Family']","To marry Princess Jana, Captain Sindbad must battle deadly obstacles and fight El Kerim, the evil ruler who also wants to marry the princess.","['character name as title', 'sinbad the sailor character', 'two word title', 'psychotronic film', 'turned into an animal', 'hideout', 'female nudity', 'nudity', 'elongating', 'wedding']",Byron Haskin,"['Guy Endore', 'Guy Williams', 'Heidi Brühl', 'Pedro Armendáriz', 'Byron Haskin']",Ian McLellan Hunter,/title/tt0056904/
Eiga Doraemon: Nobita no getsumen tansaki,"['Animation', 'Action', 'Adventure']","Nobita saw a moon turned yellow last night and told his class about it but they think it's funny. Doraemon gives him the ""History Explorers Club Badge"" and discovers there's life on the moon. Until a new student changed him forever.","['school bullies', 'school', 'mother', 'father', 'bedroom', 'portal door', 'moon', 'land rover', 'robot', 'security guard']",Jeong-beom Lee,"['Fujio F. Fujiko', 'Jeong-beom Lee', 'Wasabi Mizuta', 'Megumi Ohara', 'Yumi Kakazu']",Shinnosuke Yakuwa,/title/tt9735672/
Main Tera Hero,"['Action', 'Comedy', 'Romance']","Seenu and Sunaina fall in love with each other when he saves her from a corrupt policeman who wishes to marry her. Meanwhile, Ayesha, a girl Seenu meets on a train journey, wants to marry him.","['love at first sight', 'male objectification', 'gangster', 'college', 'police officer', 'kidnapping', 'statue of a god', 'kiss', 'helicopter', 'hero']",David Dhawan,"['Milap Zaveri', 'Varun Dhawan', ""Ileana D'Cruz"", 'Nargis Fakhri', 'David Dhawan']",Tushar Hiranandani,/title/tt2762334/
Hancock 2,"['Action', 'Fantasy']",The plot is unknown.,"['non comic book superhero', 'superhero', 'sequel', 'second part', 'character name in title']",Adam Fierro,"['Adam Fierro', 'Glen Mazzara', 'United States', 'English', 'Columbia Pictures']",Glen Mazzara,/title/tt1498780/
Thomas & Friends: Big World! Big Adventures! The Movie,"['Animation', 'Action', 'Adventure']","Thomas leaves Sodor to fulfil his dream of seeing the world. This heroic quest takes Thomas across deserts, through jungles and over dangerous mountains as he travels across five continents seeing sights he has never seen before.","['2010s', 'thomas the tank engine', 'anthropomorphic train', 'world traveler', 'globetrotting', 'senegal', 'egypt', 'mauritania', 'kenya', 'tanzania']",David Stoten,"['Britt Allcroft', 'Andrew Brenner', 'John Hasler', 'Joseph May', 'Yvonne Grundy']",Wilbert Awdry,/title/tt7415466/
Wheels of Fire,"['Action', 'Adventure', 'Sci-Fi']","In a postapocalyptic future, a ruthless vehicular gang called the Highway Warriors is conquering the wasteland through murder and plunder. During a raid, they kidnap the sister of a road warrior named Trace. He brings hell down upon them.","['psychotronic film', 'rape', 'car action', 'future', 'gun', 'vehicular combat', 'raider', 'road warrior', 'wielding a sword', 'grenade']",Cirio H. Santiago,"['Frederick Bailey', 'Cameron Frankley', 'Gary Watkins', 'Laura Banks', 'Lynda Wiesmeier']",Ellen Collett,/title/tt0088393/
Snake Eater,['Action'],"The Snake Eaters are an elite division of the Marines especially trained for search and destroy missions. This actioner chronicles the exploits of one of them who has become a cop. Known as a tough loner, he returns to find the band of backwoods bad-guys who killed his parents an... Read all","['erotica', 'taking off shoes', 'body search', 'camera shot of feet', 'male nudity', 'nudity', 'shave', 'sleeping shirtless', 'psychotronic film', 'black woman white man relationship']",George Erschbamer,"['John Dunning', 'Lorenzo Lamas', 'Josie Bell', 'Robert Scott', 'George Erschbamer']",Michael Paseornek,/title/tt0100645/
Astro,"['Action', 'Mystery', 'Sci-Fi']","A billionaire and his team with a private space exploration program, returns to Earth with an abducted extraterrestrial from a newly discovered alien planet, with hidden secrets of his own from this world.","['extraterrestrial', 'technology', 'space program', 'single dad', 'alien', 'martial art', 'ski mask', 'hitman']",Asif Akbar,"['Bernard Selling', 'Gary Daniels', 'Marshal Hilton', 'Courtney Akbar', 'Asif Akbar']",Asif Akbar,/title/tt6156656/
"Truth or Consequences, N.M.","['Action', 'Crime', 'Drama']","A group of crooks, an ex con, his friend and a gun crazy gangster plan a drug heist, but not everything goes as planned.","['neo noir', 'directed by star', 'ex convict', 'drugs', 'robbery', 'on the run', 'hostage', 'gangster', 'undercover', 'on the road']",Kiefer Sutherland,"['Kiefer Sutherland', 'Kim Dickens', 'Vincent Gallo', 'Kiefer Sutherland', 'Brad Mirman']",Brad Mirman,/title/tt0120383/
Battle of the Coral Sea,"['Action', 'Drama', 'Romance']",In 1942 submarine commander Jeff Conway secretly photographs Japanese aircraft carriers in the Coral Sea but his submarine is damaged and he's forced to surrender.,"['timeframe 1940s', 'submarine', 'interrogation', 'escape', 'naval battle', 'intelligence', 'tropical', 'illness', 'japanese officer', 'nurse']",Paul Wendkos,"['Stephen Kandel', 'Cliff Robertson', 'Gia Scala', 'Teru Shimada', 'Paul Wendkos']",Daniel B. Ullman,/title/tt0052606/
Bloodfist,"['Action', 'Sport']","Don Wilson plays retired kickboxer Jake Raye, who travels to Manila, where his brother is favored to win a kickboxing competition. His brother is killed, and Jake realizes he must enter the competition himself to flush out his brother's killer.","['kickboxer', 'kickboxing', 'female nudity', 'sex scene', 'long blonde hair', 'blonde woman', 'blonde', 'bare breasts', 'kissing while having sex', 'love interest']",Terence H. Winkless,"['Don Wilson', 'Joe Mari Avellana', 'Rob Kaman', 'Terence H. Winkless', 'Robert King']",Robert King,/title/tt0096952/
Suryavanshi,"['Action', 'Fantasy', 'Horror']",An archaeologist unearths an underground palace at Sangramgarh. The locals are afraid of what will happen if they start digging and would like to leave the past alone. It turns out their fears we confounded.,"['fight', 'sword', 'villainess', 'portrait', 'supernatural power', 'love triangle', 'sword fight', 'misandrist', 'curse', 'reincarnation']",Rakesh Kumar,"['Rakesh Kumar', 'Salman Khan', 'Amrita Singh', 'Sheeba Agarwal', 'Rakesh Kumar']",Kulwant Singh Jani,/title/tt0105500/
Invisible Agent,"['Action', 'Adventure', 'Romance']",The Invisible Man's grandson uses his secret formula to spy on Nazi Germany.,"['double agent', 'behind enemy lines', 'nazi', 'spy', 'prank', 'suicide', 'female spy', 'escape from prison', 'gestapo', 'betrayal']",Edwin L. Marin,"['Curt Siodmak', 'Ilona Massey', 'Jon Hall', 'Peter Lorre', 'Edwin L. Marin']",H.G. Wells,/title/tt0034902/
Bad Black,['Action'],A mild-mannered doctor is trained in the art of ass-kicking commando vengeance by a no-nonsense ghetto kid named Wesley Snipes.,"['black', 'africa', 'uganda']",Nabwana I.G.G.,"['Nabwana I.G.G.', 'Bisaso Dauda', 'Nakaye Jane', 'Kabuye John', 'Nabwana I.G.G.']",Alan Hofmanis,/title/tt6044414/
Stag,"['Action', 'Drama', 'Thriller']","A group of men are having a bachelor party. But when misfortune befalls one of the strippers at the stag, a convoluted scheme is hatched by the party-goers to avoid blame.","['tape over mouth', 'stripper', 'bachelor party', 'topless female nudity', 'female nudity', 'vomiting', 'tied feet', 'tied up while barefoot', 'city council', 'business partner']",Gavin Wilding,"['Jason Schombing', 'Evan Tylor', 'John Stockwell', 'Mario Van Peebles', 'Jerry Stiller']",Pat Bermel,/title/tt0120192/
Kakababur Protyaborton,"['Action', 'Adventure', 'Crime']",A famous hotel in Nairobi is about to close. People don't go to that hotel like before.Kakababu and Santu go to the hotel to find out the reason.KBBO-AINOS,['hotel'],Srijit Mukherji,"['Sunil Gangopadhyay', 'Prasenjit Chatterjee', 'Aryann Bhowmick', 'Anirban Chakrabarti', 'Srijit Mukherji']",Ruchita Chatterji,/title/tt8919364/
Deep Fear,"['Action', 'Thriller']",Plot under wraps.,[],Marcus Adams,"['Sophia Eptamenitis', 'Ed Westwick', 'Mãdãlina Ghenea', 'Macarena Gómez', 'Marcus Adams']",Robert Capelli Jr.,/title/tt14865406/
Tales of Babylon,"['Action', 'Crime', 'Thriller']","Four different hit-men find themselves viewing for a job without knowing the others are involved. Crime, money and violence in London are at the center of this tale of modern Babylon.",[],Pelayo De Lario,"['Clive Russell', 'Billie Gadsdon', 'Aaron Cobham', 'Pelayo De Lario', 'Pelayo De Lario']",Pelayo De Lario,/title/tt15554886/
Jungle Queen,"['Action', 'Adventure', 'Drama']","During World War II, the Nazi High Command sends agents into the African jungle to stir up the local Tongghili tribes against the British Allies.","['spy', 'river boat', 'boat captain', 'tied to chair', 'woman wears boots', 'horoscope', 'astrology', 'airplane', 'killed with a spear', 'jungle']",Lewis D. Collins,"['George H. Plympton', 'Ande Lamb', 'Morgan Cox', 'Edward Norris', 'Eddie Quillan']",Ray Taylor,/title/tt0037838/
Dhammu,"['Action', 'Drama']",An orphan gets adopted by a rich and powerful family looking for a heir. But the family has a dark violent past due to dispute with a rival family. What will he do when the fate of his village depends on him?,"['slow motion action scene', 'revenge', 'gore', 'shaving head', 'action violence', 'fistfight', 'love interest', 'enmity', 'mother son relationship', 'brother sister relationship']",Boyapati Srinu,"['Boyapati Srinu', 'N.T. Rama Rao Jr.', 'Trisha Krishnan', 'Karthika Nair', 'Boyapati Srinu']",M. Rathnam,/title/tt2294567/
The Fix,"['Action', 'Sci-Fi']","In a dystopian future where air is toxic, a troubled young model takes an illicit new drug at a party and suffers a shocking transformation. She undertakes to reverse the effects of the drug, only to discover that her mutations may be the key to saving the human race.",['fictional drug'],Kelsey Egan,"['Grace Van Dien', 'Nicole Fortuin', 'Natalie Robbie', 'Kelsey Egan', 'Kelsey Egan']",Kelsey Egan,/title/tt10284944/
Arctic Apocalypse,"['Action', 'Adventure', 'Drama']","A massive influx of glacial melting triggers a new ice age in the Northern Hemisphere, forcing a family to make their way across the ice-covered landscape before they are frozen out for good.","['disaster film', 'cold', 'end of the world', 'global cooling', 'glacial till', 'ice age', 'destruction', 'tidal wave', 'avalanche']",Eric Paul Erickson,"['Eric Paul Erickson', 'Bill Hanstock', 'Robert Hensley', 'Joel Berti', 'Jennifer Lee Wiggins']",Jon Kondelik,/title/tt10305328/
Breakdown,"['Action', 'Crime', 'Drama']","A professional contract killer, haunted by visions of his violent past, spirals out of control. His work compromised as he reaches breaking point, he is forced to defend his family from his ruthless employers.","['ptsd post traumatic stress disorder', 'child with a gun', 'family in jeopardy', 'contract killer', 'vision', 'panic attack', 'hitman', 'torture', 'family home', 'shot in the stomach']",Jonnie Malachi,"['Craig Fairbrass', 'James Cosmo', 'Emmett J Scanlan', 'Jonnie Malachi', 'Jonnie Malachi']",Jonnie Malachi,/title/tt3381610/
Dear Vikram,"['Action', 'Drama']","When Nitya, an academically bright student meets Vikram, who has strong views on politics and idealism, it seems like a match made in heaven. With time they realise that their views are diametrically opposite and that they want different",[],K.S. Nandeesh,"['Shraddha Srinath', 'Vasishta N. Simha', 'K.S. Nandeesh', 'Sathish Neenasam', 'Shraddha Srinath']",Sathish Neenasam,/title/tt21041972/
L.A. Wars,"['Action', 'Drama']","A trigger-happy ex-cop goes undercover in a mafia organization under the guise of protecting the crime boss's daughter from a new rival, which ignites a bloody war on the streets of L.A.","['location in title', 'drug dealer', 'drugs', 'police officer', 'undercover', 'rape', 'martial arts', 'revenge', 'gun', 'shot in the head']",Tony Kandah,"['Addison Randall', 'Tony Kandah', 'Vince Murdocco', 'Mary E. Zilba', 'A.J. Stephans']",Martin Morris,/title/tt0185408/
Zoombies 2,"['Action', 'Adventure', 'Comedy']",A game ranger and a team of poachers end up surrounded by zombie animals and they forge an alliance to stop the beasts before the super-zombie virus spreads to the entire world.,"['animal attack', 'cgi', 'poacher', 'rhino', 'lynx', 'prequel', 'siege', 'laboratory', 'characters murdered one by one', 'lemur']",Glenn Miller,"['Erica Sturdefant', 'Jonathon Buckley', 'Jarrid Masse', 'Glenn Miller', 'Scotty Mullen']",Scotty Mullen,/title/tt9670282/
King Arthur: Excalibur Rising,"['Action', 'Adventure']",A re-imagining of the Arthurian legend centered around Arthur's illegitimate son Owain who must learn to take up his father's mantle as king.,"['f word', 'blood', 'arthurian', 'blood sacrifice', 'drinking blood', 'violence', 'death', 'feature', 'excalibur', 'king arthur']",Antony Smith,"['Antony Smith', 'Adam Byard', 'Annes Elwy', 'Gavin Swift', 'Antony Smith']",Victor Mawer,/title/tt5988966/
Bullett Raja,"['Action', 'Crime', 'Drama']","A common man who transforms into a gangster revolts against the very system he once obediently followed by declaring war on the police, the government, and the industrialists.","['gangster', 'drag', 'politician', 'contract killer', 'character name in title']",Tigmanshu Dhulia,"['Tigmanshu Dhulia', 'Amaresh Misra', 'Saif Ali Khan', 'Sonakshi Sinha', 'Vidyut Jammwal']",Ajit Sable,/title/tt2551378/
Luck,"['Action', 'Adventure', 'Drama']","An underworld kingpin recruits people endowed with 'Luck' from across the globe to take part in a series of challenges designed to test their 'Luck' factor, as gamblers around the world bet on them.","['desert', 'bikini', 'underwater scene', 'luck', 'survival', 'cleavage', 'lottery', 'bank', 'russian roulette', 'train']",Soham Shah,"['Soham Shah', 'Mithun Chakraborty', 'Sanjay Dutt', 'Imran Khan', 'Soham Shah']",Renzil D'Silva,/title/tt1242782/
Flash Gordon's Trip to Mars,"['Action', 'Adventure', 'Family']","When a deadly Nitron ray strikes Earth, Flash Gordon and his friends travel to Mars to battle Ming the Merciless and his new ally Queen Azura.","['flash gordon character', 'ming the merciless character', 'psychotronic film', 'camp', 'queen', 'clay people', 'outer space', 'ray gun', 'skylight', 'evil man']",Ford Beebe,"['Frederick Stephani', 'Ray Trampe', 'Norman S. Hall', 'Wyndham Gittens', 'Buster Crabbe']",Robert F. Hill,/title/tt0030138/
A Gunman's Curse,['Action'],"A legendary gunfighter, cursed by witches, searches for the priceless portrait of a woman who died two hundred years ago, only to discover that she still lives.",[],Ezequiel Martinez Jr.,"['Ezequiel Martinez Jr.', 'Mana Afshar', 'Anastacia Bella', 'Luis Centeno', 'Ezequiel Martinez Jr.']",Lee Brandt,/title/tt8937496/
Hell Hole,"['Action', 'Mystery', 'Thriller']","Just outside a desolate ghost town, inside a long-abandoned gold mine, lurks a dark being, conjured by the Shanowah tribe ages ago to destroy those that threatened to wipe out their people. Every one of the descendants of the miners who trapped it inside the Hell Hole mine suffer... Read all",[],Paul Collett,"['Paul Collett', 'Paul Collett', 'Tori Lane Ross', 'Tom Sizemore', 'Paul Collett']",Tammy Massa,/title/tt11714030/
Hagane no Renkinjutsushi: Kanketsu-hen - Fukushusha Scar,"['Action', 'Adventure', 'Fantasy']","When a mysterious figure starts to target State Alchemists for their sins against God, Alchemist Edward Elric and his brother Alphonse are at their most vulnerable, meanwhile the homunculi begin to unveil themselves once again.",['live action remake of anime'],Fumihiko Sori,"['Fumihiko Sori', 'Takeshi Miyamoto', 'Ryôsuke Yamada', 'Atom Mizuishi', 'Jun Fubuki']",Hiromu Arakawa,/title/tt18671386/
Rogue Warfare: The Hunt,['Action'],"The next story of the Rogue trilogy; Under orders from the U.S. president, a team of elite soldiers go behind enemy lines to free their captive leader from terrorists.",['team'],Mike Gunther,"['Will Yun Lee', 'Jermaine Love', 'Rory Markham', 'Mike Gunther', 'Andrew Emilio DeCesare']",Andrew Emilio DeCesare,/title/tt7983712/
Deep Freeze,"['Action', 'Adventure', 'Comedy']",An Antarctic drilling station is under attack by a mysterious killer. Will anyone survive?,"['antarctica', 'arctic', 'ice', 'snow', 'creature feature', 'parasite']",John Carl Buechler,"['Dennis A. Pratt', 'Matthew Jason Walsh', 'Götz Otto', 'Allen Lee Haff', 'Alexandra Kamp']",Robert Boris,/title/tt0272036/
The Maze,"['Action', 'Horror', 'Thriller']",Five friends break into a closed corn maze in the middle of the night and decide to play a harmless game of tag. Little do they know that a psychopathic killer has decided to play along.,"['slasher', 'mad killer', 'maze', 'game', 'killer', 'corn maze', 'corn', 'cornfield', 'blood', 'suspense']",Stephen Shimek,"['Timothy Gutierrez', 'Seven Castle', 'Brandon Sean Pearson', 'Clare Niederpruem', 'Stephen Shimek']",Katy Baldwin,/title/tt1675758/
Cassidy Red,"['Action', 'Adventure', 'Drama']","A woman returns to her hometown seeking bloodthirsty retribution when her lover is killed by her scornful ex-fiancé. Torn between love, hate, loyalty, and vengeance, her path to satisfaction widens out of her control..","['arizona territory', 'arizona', 'arizona desert']",Matt Knudsen,"['Abby Eiland', 'David Thomas Jenkins', 'Jason Grasl', 'Matt Knudsen', 'Matt Knudsen']",Matt Knudsen,/title/tt5081304/
Ending Things,['Action'],"Follows a hit-woman who wants out of the assassin business along with her personal relationship with her ""business"" partner, but she then realizes she doesn't want to break up, and they must join forces for one last night out.",[],Kevin Sullivan,"['Priyanka Chopra Jonas', 'Anthony Mackie', 'Kevin Sullivan', 'Kevin Sullivan', 'Priyanka Chopra Jonas']",Kevin Sullivan,/title/tt17632096/
Farzand,"['Action', 'Drama', 'History']","Farzand follows the story of warrior Kondaji Farzand, who along with 60 warriors defeated 2500 soldiers of the enemy to win the Panhala fort in just three and half hours in 1673.","['warrior', '17th century', 'maratha empire', 'timeframe 17th century']",Digpal Lanjekar,"['Digpal Lanjekar', 'Mrinal Kulkarni', 'Chinmay Mandlekar', 'Ganesh Yadav', 'Digpal Lanjekar']",Iraj Farahvashi,/title/tt8396238/
Redirected,"['Action', 'Comedy', 'Crime']",Three friends try to make money and invite another friend in on a plot.,"['wedding', 'murder', 'blood', 'gun in mouth', 'death', 'gambling', 'casino', 'surprise ending', 'male nudity', 'male rear nudity']",Emilis Velyvis,"['Lewis Britnell', 'Emilis Velyvis', 'Vinnie Jones', 'Scot Williams', 'Gil Darnell']",Jonas Banys,/title/tt2275946/
NTR 31,['Action'],,[],Prashanth Neel,"['N.T. Rama Rao Jr.', 'Prashanth Neel', 'Prashanth Neel', 'N.T. Rama Rao Jr.', 'Prashanth Neel']",Prashanth Neel,/title/tt14697030/
Driving Licence,"['Action', 'Comedy', 'Drama']","A famous actor needs to renew his driver's licence, and the motor vehicle agent is a fan of his, but a series of misunderstandings causes a great deal of friction.",['actor'],Jean Paul Lal,"['Prithviraj Sukumaran', 'Suraj Venjaramoodu', 'Miya George', 'Jean Paul Lal', 'Sachy']",Sachy,/title/tt9264336/
Kick,"['Action', 'Comedy', 'Crime']","An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief, though he soon finds himself pursued by veteran police officer and engaged in a turf war with a local gangster.","['thief', 'adrenaline junkie', 'train', 'police station', 'daredevil', 'chase', 'bicycle', 'police officer', 'robbery', 'mask']",Sajid Nadiadwala,"['Rajat Arora', 'Keith Gomes', 'Salman Khan', 'Jacqueline Fernandez', 'Nawazuddin Siddiqui']",Vakkantham Vamsi,/title/tt2372222/
Ready,"['Action', 'Comedy', 'Romance']","Set in Thailand and India, a case of mistaken identity leads to love, and a man and his family concoct a grand scheme to win over the hearts of a woman and her greedy, conniving uncles.","['neo screwball comedy', 'runaway bride', 'coma', 'airport', 'love', 'brother brother relationship', 'ashram', 'dreadlocks', 'marriage registrar office', 'accountant']",Anees Bazmee,"['Ikram Akhtar', 'Nisar Akhtar', 'Salman Khan', 'Asin Thottumkal', 'Paresh Rawal']",Rajan Agarwal,/title/tt1708532/
Class of 1999 II: The Substitute,"['Action', 'Horror', 'Sci-Fi']","The substitute teacher of the future is a robot who answers spit-wads with bullets. He'll clean up the gang situation at the school, too, if a government agent doesn't catch him first for an experimental robot army.","['female nudity', 'female frontal nudity', 'killer robot', 'goofball', 'psychotronic film', 'cyberpunk', 'low budget sci fi movie', 'year in title', '20th century', '1990s']",Spiro Razatos,"['Mark L. Lester', 'Sasha Mitchell', 'Caitlin Dulany', 'Nick Cassavetes', 'Spiro Razatos']",Mark Sevi,/title/tt0109442/
Sweeney 2,"['Action', 'Crime', 'Drama']",Second theatrical spin-off from the popular 1970's police series. Regan and Carter head a Flying Squad investigation into a series of bank raids by a team of well-armed villains who are flying in from the continent.,"['topless female nudity', 'bare breasts', '1970s', 'female nudity', 'mercedes benz', 'nazi memorabilia', 'shotgun', 'armed robbery', 'bomb', 'flying squad']",Tom Clegg,"['Ian Kennedy Martin', 'John Thaw', 'Dennis Waterman', 'Denholm Elliott', 'Tom Clegg']",Troy Kennedy-Martin,/title/tt0078351/
Tejasvini,"['Action', 'Drama']","India's capital Delhi is the center-point of this story, depicted as a degenerate and corrupt city with Members of Parliament with big criminal rap sheets, ruling the roost, transferring or killing honest police officers, promotion their own corrupt cops, openly collecting weekly... Read all","['delhi india', 'rape victim', 'remake', 'action heroine', 'tough cop', 'female police officer', 'one woman army', 'rapist', 'organized crime', 'crime lord']",N. Chandra,"['Vijayshanti', 'Charan Raj', 'N. Chandra', 'Deepak Malhotra', 'Vijayshanti']",Deepak Malhotra,/title/tt0348187/
Ang babae sa bintana,"['Action', 'Drama', 'Thriller']","Babae Sa Bintana contemplates the likehood of a world where the city ceases to be a symbol of progress, and becomes a mere showcase of lives ruined by modernity's failures. Suffering severely from depression after being left by his wife, Mitch (Gomez) finds momentary distraction ... Read all","['sex', 'sexy pinay', 'swordplay', 'suicide', 'suicide by electrocution', 'separation', 'mother father feud', 'massacre', 'bamboo stunt']",Chito S. Roño,"['Rosanna Roces', 'Richard Gomez', 'John Estrada', 'Chito S. Roño', 'Roy Iglesias']",Roy Iglesias,/title/tt0325037/
Blowing Wild,"['Action', 'Adventure', 'Drama']","In South America, after Jeff Dawson and Dutch Peterson's oil rigs are dynamited by local bandits, the two partners resort to risky transportation of nitroglycerin to raise money.","['man carries a woman', 'oil', 'nitroglycerin', 'oil well', 'bandit', 'oil rig', 'lease', 'hospital', 'dynamite', 'shot in the leg']",Hugo Fregonese,"['Gary Cooper', 'Barbara Stanwyck', 'Ruth Roman', 'Hugo Fregonese', 'Philip Yordan']",Philip Yordan,/title/tt0045563/
Yudhra,['Action'],Action-packed ride with romance and drama involved.,[],Ravi Udyawar,"['Akshat Ghildial', 'Shridhar Raghavan', 'Malavika Mohanan', 'Siddhant Chaturvedi', 'Raj Arjun']",Farhan Akhtar,/title/tt14056466/
Kuruvi,"['Action', 'Comedy', 'Drama']","Vetrivel, a car racer, learns that a Malaysia-based don owes his father a huge sum of money. However, when he meets the don, he realises that his missing father may still be alive and held captive.","[""new year's eve party"", 'courier', 'malaysia', 'hit on the head with a rock', 'life support system', 'paralysis', 'sadist', 'hit by a train', 'level crossing', 'talking villain cliche']",Dharani,"['Babu Sivan', 'Thalapathy Vijay', 'Trisha Krishnan', 'Suman', 'Dharani']",Dharani,/title/tt1228931/
Bullies,"['Action', 'Drama', 'Thriller']","The Morris family moves from the city in an attempt to make a new life in a small resort town, only to be confronted by a sadistic rural clan, the Cullens.","['mother raped in front of son', 'teenager', 'one word title', 'car run off the road', 'car driven off a cliff', 'murdered couple', 'poker', 'conflict between neighbors', 'punk', 'unfriendly locals']",Paul Lynch,"['Bryan McCann', 'Jonathan Crombie', 'Janet-Laine Green', 'Stephen Hunter', 'Paul Lynch']",John Sheppard,/title/tt0090779/
Russkiy Reyd,['Action'],"Nikita, a former Russian Spetsnaz operative, is hired to neutralize the large private security force at a local factory so that his shady employer can extort the business from the factory owner. But Nikita and his group of highly trained fighters get more than they bargained for ... Read all",[],Denis Kryuchkov,"['Olga Loyanich', 'Robert Orr', 'Ilya Antonenko', 'Vladimir Chuprikov', 'Sergey Grab']",Denis Kryuchkov,/title/tt12425868/
Broken Horses,"['Action', 'Crime', 'Drama']","The bonds of brotherhood, the laws of loyalty, and the futility of violence in the shadows of the US Mexico border gang wars.","['neo western', 'contemporary western']",Vidhu Vinod Chopra,"['Abhijat Joshi', 'Henry Shotwell', 'Thomas Jane', 'Nicholas Neve', 'Vidhu Vinod Chopra']",Vidhu Vinod Chopra,/title/tt2503954/
