movie title,Run Time,Rating,User Rating,Generes,Overview,Keywords,Director,Top 5 Casts,Writer,year,path,Popularity,Votes,Adult,Poster Image,Runtime,Taglines
Wagons West,not-released,6.4,108,['Western'],"Jeff Curtis (Rod Cameron), a wagon-master on his way to accept the job of leading a pioneer train from Joplin, Missouri to the Oregon territory, picks up Ben Wilkins (Michael Chapin), a young boy who has run away from the train because train captain Cyrus Cook (Frank Ferguson) wo... Read all","['oregon', 'cheyenne indian', 'betrayal', 'native american chief', 'timeframe 1860s', 'pioneer', 'conflict', 'joplin missouri', 'wagon master', 'wagon train', 'wagon master']",Ford Beebe,"['Rod Cameron', 'Noah Beery Jr.', 'Peggie Castle', 'Ford Beebe', 'Daniel B. Ullman']",Daniel B. Ullman,-1952,/title/tt0045306/,1.935,1.0,False,http://image.tmdb.org/t/p/w500/w84XT2JR34GMQf0mHMgOLxXii9z.jpg,70.0,When CHEYENNE TERROR Swept The Plains!
The Plunderers,not-released,6.6,355,['Western'],"When four rowdy cowhands ride into a small town and make trouble, no one seems willing or able to take them on, not even Sam Christy, the toughest man in town. But then there is a murder.","['murder', 'saloon', 'cowboy', 'professional gunfighter', 'gunfighter', 'cold blooded killer', 'showdown', 'street shootout', 'gunfight', 'shootout', 'saloon', 'murder', 'shootout', 'gunfight', 'fast draw', 'small western town', 'outlaw gang']",Joseph Pevney,"['Jeff Chandler', 'John Saxon', 'Dolores Hart', 'Joseph Pevney', 'Bob Barbash']",Bob Barbash,-1960,/title/tt0054190/,2.478,9.0,False,http://image.tmdb.org/t/p/w500/kiBIzvrf0bUz8Ts0gFFgB8ZdTAH.jpg,94.0,These Were The Four Steel-Nerved Young Hellions...Each Ready To Stand Up To A Ring Of Guns...Or Drag A Woman's Name Down To His!
Hour of the Gun,1 hour 40 minutes,6.6,4.1K,['Western'],"Marshal Wyatt Earp kills a couple of men of the Clanton gang in a fight. In revenge, Clanton's thugs kill the Marshal's brother. Thus, Wyatt starts to chase the killers together with his friend Doc Holliday.","['arizona territory', 'arizona', 'ike clanton', 'curly bill brocius', 'frank stilwell', 'billy clanton', 'frank mclaury', 'tom mclaury', 'reference to tombstone arizona', 'reference to arizona', 'arizona', 'wyatt earp', 'doc holliday', 'revenge', 'shootout', 'western town', 'tombstone arizona', '19th century', 'ok corral']",John Sturges,"['James Garner', 'Jason Robards', 'Robert Ryan', 'John Sturges', 'Edward Anhalt']",Edward Anhalt,-1967,/title/tt0061787/,8.628,76.0,False,http://image.tmdb.org/t/p/w500/4sFnOXm9wvJIfWzfwIvTN1dZ8KE.jpg,100.0,Wyatt Earp - hero with a badge or cold-blooded killer?
The Last Manhunt,not-released,no-rating,0,['Western'],"In 1909, amidst the dying old west, Willie Boy, a long distance Desert Runner by Chemehuevi tradition, falls in love with young native beauty, Carlota. Carlota's father, a Chemehuevi shaman and local tribal leader, refuses to let the young couple be together. In a fatal confronta... Read all",[],Christian Camargo,"[""Thomas Pa'a Sibbett"", 'Martin Sensmeier', 'Mainei Kinimaka', 'Zahn McClarnon', 'Christian Camargo']",Jason Momoa,,/title/tt11399896/,11.065,33.0,False,http://image.tmdb.org/t/p/w500/95Bn6HZBBJcG7LOBMAzNH0gmLih.jpg,103.0,"In 1909, they entered the desert. Now, the truth will finally emerge."
Doc',not-released,6.2,1.8K,['Western'],"Doc Holliday, the cold-blooded sharp-shooter, reunites with his old friend, Marshall Wyatt Earp, to take down the Clanton gang in the dusty town of Tombstone, in Arizona.","['arizona territory', 'arizona', 'revisionist western', 'dust', 'town', 'sheriff', 'law', 'friend', 'friendship', 'gang']",Frank Perry,"['Stacy Keach', 'Faye Dunaway', 'Harris Yulin', 'Frank Perry', 'Pete Hamill']",Pete Hamill,-1971,/title/tt0067003/,14.491,38.0,False,http://image.tmdb.org/t/p/w500/kH7HeXi8GbZuNxeo7v5XFwoTvyG.jpg,97.0,He Holds Your Fate in His Hands
Red Headed Stranger,not-released,6.4,669,['Western'],"Revisionist western about fallen preacher Shay, who guns down his wife Raysha for running off with another man. Wandering, he meets single mom Laurie. However, helpless sheriff Scoby wants Shay to help him fight the villainous Clavers.","['newlywed couple', 'montana', 'covered wagon', 'dead wolf', 'church', 'hymn', 'church service', 'prayer', 'curse', 'saloon', 'sheriff', 'murder', 'revisionist']",William D. Wittliff,"['Willie Nelson', 'Morgan Fairchild', 'R.G. Armstrong', 'William D. Wittliff', 'William D. Wittliff']",William D. Wittliff,-1986,/title/tt0091834/,2.323,6.0,False,http://image.tmdb.org/t/p/w500/7WLUJi91mDriXUQ0cG6IiYWaIzP.jpg,105.0,
A Man Called Sledge,not-released,5.9,1.3K,['Western'],"In the Old West, a gunfighting outlaw connives his way into a prison in hopes of getting his hands on a large shipment of gold stored there.","['fort yuma arizona', 'yuma arizona', 'yuma territorial prison', 'territorial prison', 'spaghetti western', 'italo western', 'gagged', 'gold', 'old man', 'prison', 'spaghetti western']",Vic Morrow,"['Vic Morrow', 'Frank Kowalski', ""Massimo D'Avak"", 'James Garner', 'Dennis Weaver']",Giorgio Gentili,-1970,/title/tt0066050/,6.205,30.0,False,http://image.tmdb.org/t/p/w500/2RqnEBkdOjSF1E8NsQQmtQATXgW.jpg,93.0,When SLEDGE hits town it stays hit!
Two Rode Together,not-released,6.7,6.2K,['Western'],"A corrupt marshal is pressured by his army friend into negotiating the release of white captives of the Comanches, but finds that their reintegration into society has its consequences.","['prisoner', 'captive', 'convict', 'perpetrator', 'cynic', 'hostage', 'pessimist', 'skeptic', 'sceptical father', 'negative', 'comanche']",John Ford,"['Will Cook', 'James Stewart', 'Richard Widmark', 'Shirley Jones', 'John Ford']",Frank S. Nugent,-1961,/title/tt0055558/,11.713,114.0,False,http://image.tmdb.org/t/p/w500/gAFUWIeHyaY357N36XLphDfh38u.jpg,109.0,TOGETHER...THEY RODE INTO A THOUSAND DANGERS!
Nevada Smith,2 hours 8 minutes,6.9,8.3K,['Western'],A half-American Indian and half-white teenager evolves into a hardened killer as he tracks down his parents' murderers.,"['revenge', 'couple killed', 'stabbed with a knife', 'white indian', 'nevada territory', 'rifle', 'loss of parents', 'firearm', 'loss of mother', 'loss of father', 'repayment', 'revenge', 'native american', 'wild west', 'half breed']",Henry Hathaway,"['John Michael Hayes', 'Steve McQueen', 'Karl Malden', 'Brian Keith', 'Henry Hathaway']",Harold Robbins,-1966,/title/tt0060748/,8.939,148.0,False,http://image.tmdb.org/t/p/w500/4QJLqSZRnhAb9pezEEIxidVINes.jpg,128.0,Some called him savage- and some called him saint... some felt his hate- and one found his love... and three had to die...
The Last Days of Billy the Kid,not-released,1.4,129,['Western'],This motion picture chronicles the last days of the most iconic outlaw of the old west.,[],Christopher Forbes,"['Christopher Forbes', 'William Adams', 'Jezibell Anat', 'Daniel Brahim', 'Christopher Forbes']",Jezibell Anat,-2017,/title/tt7339930/,1.843,3.0,False,http://image.tmdb.org/t/p/w500/lIji3IiJwQIMzwTBAU0t2otX3zy.jpg,80.0,The Old West's Most Iconic Outlaw
Posse,1 hour 51 minutes,5.5,4.5K,['Western'],"In 1898 Cuba, five Buffalo Soldiers find a gold cache, desert and return to America where they help defend a black town from the KKK, all the while trying to avoid capture by lawmen and military authorities alike.","['sex scene', 'breasts', 'revolver', 'lust', 'female nudity', 'female full rear nudity', 'gun', 'male nudity', 'male full frontal nudity', 'pubic hair', 'marshal', 'ambition', 'cynicism', 'posse']",Mario Van Peebles,"['Dario Scardapane', 'Mario Van Peebles', 'Stephen Baldwin', 'Charles Lane', 'Mario Van Peebles']",Sy Richardson,-1993,/title/tt0107863/,11.678,58.0,False,http://image.tmdb.org/t/p/w500/vmgcz6KtHeRwAz60S3hPGNweItS.jpg,92.0,"""Posse"" begins like most Westerns. It ends like none of them. It will knock you off your horse."
Dawn Rider,1 hour 34 minutes,4.9,2.1K,['Western'],"After his father is killed, John Mason is willing to turn the world inside out to find the man responsible. What he doesn't know is the killer might be in his own house.","['standing in the middle of the street', 'jail cell key', 'two gun holster', 'gun holster', 'holster', 'double gun holster', 'horseback riding', 'wyoming', 'punching', 'shot in the gut']",Terry Miles,"['Lloyd Nosler', 'Wellyn Totman', 'Christian Slater', 'Jill Hennessy', 'Donald Sutherland']",Joseph Nasser,-2012,/title/tt2014202/,7.759,73.0,False,http://image.tmdb.org/t/p/w500/fJMC2wBEifL4M6QP2OjSuEBVMyX.jpg,94.0,Justice is a quick draw.
Catch the Bullet,not-released,2.8,449,['Western'],"Britt MacMaster, a U.S. Marshal who rarely brings them back alive, returns home from the trail to discover his 12-year-old son, Chad has been kidnapped by outlaws Jed Blake and his gang.",[],Michael Feifer,"['Jay Pickett', 'Gattlin Griffith', 'Mason McNulty', 'Michael Feifer', 'Jerry Robbins']",Jerry Robbins,-2021,/title/tt11833710/,19.749,90.0,False,http://image.tmdb.org/t/p/w500/7PoomidF9HlMKXcAyOJ87lGkhSp.jpg,89.0,The sun never sets on vengeance.
Walk the Proud Land,1 hour 28 minutes,6.6,972,"['Biography', 'History', 'Western']","An agent sent from Washington in 1874 takes charge of an Apache reservation and has the oppressive US Army back off, which creates conflicts and causes the Indians to have great respect for him.","['arizona territory', 'san carlos reservation arizona', 'settlers', 'widow', 'arizona desert', 'geronimo character', 'father son relationship', 'timeframe 1870s', 'u.s. cavalry', 'apache indian', 'native american', 'conflict', 'government agent']",Jesse Hibbs,"['Jack Sher', 'Woodworth Clum', 'Audie Murphy', 'Anne Bancroft', 'Pat Crowley']",Gil Doud,-1956,/title/tt0049933/,3.727,12.0,False,http://image.tmdb.org/t/p/w500/eIeF748vxWKyr4sLd4WkXlewegH.jpg,88.0,
The Tall T,not-released,7.3,5.3K,['Western'],"An independent former ranch foreman is kidnapped along with an heiress, who is being held for ransom by trio of ruthless outlaws.","['contention city arizona', 'murder of an unarmed man', 'falling off a horse', 'shot in the face', 'hostage', 'kidnapping', 'deserted way station', 'way station master', 'way station', 'stagecoach relay station', 'bet', 'ransom', 'horse', 'outlaw', 'stagecoach', 'newlywed']",Budd Boetticher,"['Elmore Leonard', 'Randolph Scott', 'Richard Boone', ""Maureen O'Sullivan"", 'Budd Boetticher']",Burt Kennedy,-1956,/title/tt0051047/,13.174,120.0,False,http://image.tmdb.org/t/p/w500/nTVZAsEOkibDyuNlyuExKpwOdfH.jpg,78.0,Taut! Torrid! Tremendous! T Is for Terror!
